Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;4.649586296;0.073301274;0.171299223;0;0.0;0.0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;0.9281529182;0.00631262904;0.05253359652;0;0.0;0.0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0.0;0.0;0.0;0;0.4545375194;0.0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;0.0;0;0.0;0.0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.0;0.0;0.0;0;0.0;0.0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;41.83326223;0.004717465;0.0;0;0.0;0.0;0;0;[GWh]
Heat;Cooking;COOKING;75.91;64.52;0.0;0;0.0;0.0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;0.0;0;0.0;0.0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;2.605545298;0.0308628376;0.0;0;0.0;0.0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;16.00242402;0.02314463186;1.435661215;0;0.0;0.0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;0;0.0;0.0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;0;0.0;0.0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0.0;0.0;0.0;0;0.0;0.0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0.0;0.0;0.0;0;0.0;0.0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0.0;0.0;0.0;0;0.0;0.0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0.0;0.0;2.534634421;0;0.0;0.0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0.0;0.0;0.0;0;0.0;0.0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0.0;0.0;0.0;0;0.0;4.179846679;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0.0;0.0;0.0;0;0.0;0.0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0.0;0.0;0.0;0;0.0;0.0;0;0;[GWh]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;0.0;0;0.0;0.0;0;0;[GWh]
