Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;658.4217389;1011.477031;0;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;45.66551959;30.13594687;23.56550206;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;0;0;0;51.61573875;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;13168.27434;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;21.24643218;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;1161.432114;137.4134233;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;4512.161131;304.1741743;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;962.0199082;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;338.4616458;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;344322.0993;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;14776.917819153;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;107.4093676;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;76.33031871;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;1581.451346;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;50.119291;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;210.6058639;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;1549.33326;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;445.2801227;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;670.9502525;0;0;0;0;0;[GWh]
