From;To;Resources;Network_type;tc_min;tc_max
SIN;SA-BN;ELECTRICITY;HVAC_LINE;0;0
SA-BN;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;SA-PA;ELECTRICITY;HVAC_LINE;0;0
SA-PA;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;SA-TJ;ELECTRICITY;HVAC_LINE;0;0
SA-TJ;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;SA-SC;ELECTRICITY;HVAC_LINE;0;0
SA-SC;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;SA-BN;GAS;GAS_PIPELINE;0;0
SA-BN;SIN;GAS;GAS_PIPELINE;0;0
SIN;SA-PA;GAS;GAS_PIPELINE;0;0
SA-PA;SIN;GAS;GAS_PIPELINE;0;0
SIN;SA-TJ;GAS;GAS_PIPELINE;0;1.563046
SA-TJ;SIN;GAS;GAS_PIPELINE;0;1.563046
SIN;SA-SC;GAS;GAS_PIPELINE;0;1.944717
SA-SC;SIN;GAS;GAS_PIPELINE;0;1.944717
SIN;SA-BN;DIESEL;DIESEL_PIPELINE;0;0
SA-BN;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;SA-PA;DIESEL;DIESEL_PIPELINE;0;0
SA-PA;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;SA-TJ;DIESEL;DIESEL_PIPELINE;0;0
SA-TJ;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;SA-SC;DIESEL;DIESEL_PIPELINE;0;0
SA-SC;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;SA-BN;GASOLINE;GASOLINE_PIPELINE;0;0
SA-BN;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;SA-PA;GASOLINE;GASOLINE_PIPELINE;0;0
SA-PA;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;SA-TJ;GASOLINE;GASOLINE_PIPELINE;0;0
SA-TJ;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;SA-SC;GASOLINE;GASOLINE_PIPELINE;0;0
SA-SC;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;SA-BN;LPG;LPG_PIPELINE;0;0
SA-BN;SIN;LPG;LPG_PIPELINE;0;0
SIN;SA-PA;LPG;LPG_PIPELINE;0;0
SA-PA;SIN;LPG;LPG_PIPELINE;0;0
SIN;SA-TJ;LPG;LPG_PIPELINE;0;0
SA-TJ;SIN;LPG;LPG_PIPELINE;0;0
SIN;SA-SC;LPG;LPG_PIPELINE;0;0
SA-SC;SIN;LPG;LPG_PIPELINE;0;0
SIN;SA-BN;LFO;LFO_PIPELINE;0;0
SA-BN;SIN;LFO;LFO_PIPELINE;0;0
SIN;SA-PA;LFO;LFO_PIPELINE;0;0
SA-PA;SIN;LFO;LFO_PIPELINE;0;0
SIN;SA-TJ;LFO;LFO_PIPELINE;0;0
SA-TJ;SIN;LFO;LFO_PIPELINE;0;0
SIN;SA-SC;LFO;LFO_PIPELINE;0;0
SA-SC;SIN;LFO;LFO_PIPELINE;0;0
SIN;SA-BN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SA-BN;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;SA-PA;JET_FUEL;JET_FUEL_PIPELINE;0;0
SA-PA;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;SA-TJ;JET_FUEL;JET_FUEL_PIPELINE;0;0
SA-TJ;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;SA-SC;JET_FUEL;JET_FUEL_PIPELINE;0;0
SA-SC;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;SA-BN;H2;H2_RETROFITTED;0;0
SA-BN;SIN;H2;H2_RETROFITTED;0;0
