Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;1.12208432;1.12208432;1.12208432;0;1.12208432;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;1.12208432;1.12208432;1.19905761;0;1.12208432;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;1.12208432;1.12208432;1.12208432;0;1.12208432;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;1.19905761;1.19905761;1.19905761;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;1.12208432;1.12208432;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;1.12208432;1.12208432;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;1.12208432;1.12208432;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;1.12208432;1.12208432;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;1.12208432;1.12208432;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;1.12208432;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;1.12208432;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;1.12208432;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;1.12208432;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;1.12208432;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;1.19905761;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;1.12208432;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;1.12208432;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;1.24032300;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;1.12208432;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;1.12208432;0;0;0;0;0;[GWh]
