Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;49.68989129;48.68390383;8.423236908;0.0;0;0.0;0;0.0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;1.082546368;0.0;1.043534449;0.0;0;0.0;0;0.0;[GWh]
Lighting;Public lighting;LIGHTING_P;0.0;1.139480031;0.0;0.0;0;0.0;0;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;31.37191552;0.0;0;0.0;0;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.0;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;6.17577826;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Heat;Cooking;COOKING;38.56449033;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;34.83569261;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;4.054743166;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;0;0;0.0;0;0.0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;0;0;0.0;0;0.0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0.0;0.0;0.0;0.0;0;0.0;0;0.0;[Mpkm]
Mobility;International shipping;SHIPPING;0.0;0.0;0.0;0.592322223;0;0.0;0;0.0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0.0;0.796558524;0.0;0.0;0;0.0;0;0.0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0.0;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0.0;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0.0;0.0;0.0;0.0;0;21.77259964;0;0.0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0.0;0.0;0.0;0.0;0;0.0;0;0.0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0.0;0.0;0.0;0.0;0;0.0;0;5.077509218;[GWh]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;0;0.0;0;0.0;0;0.0;[GWh]
