Elements;C_inv;C_maint;C_op
NUCLEAR;0.0;0.0;0.0
NUCLEAR_SMR;0.0;0.0;0.0
CCGT_AMMONIA;0.0;0.0;0.0
COAL_US;0.0;0.0;0.0
COAL_IGCC;0.0;0.0;0.0
BIOMASS_TO_POWER;0.0;0.0;0.0
PV_ROOFTOP;0.0;0.0;0.0
PV_UTILITY;14.559012944255656;3.8486061312751207;0.0
PV_HS;0.49469035677800216;0.015717025179412526;0.0
PT_COLLECTOR;0.0;0.0;0.0
ST_COLLECTOR;0.0;0.0;0.0
PT_POWER_BLOCK;0.0;0.0;0.0
ST_POWER_BLOCK;0.0;0.0;0.0
WIND_ONSHORE;0.0;0.0;0.0
WIND_OFFSHORE;0.0;0.0;0.0
HYDRO_DAM;0.0;0.0;0.0
HYDRO_RIVER;0.0;0.0;0.0
TIDAL_STREAM;0.0;0.0;0.0
TIDAL_RANGE;0.0;0.0;0.0
WAVE;0.0;0.0;0.0
GEOTHERMAL;0.0;0.0;0.0
GENSET_DIESEL;0.0;0.5083067337955188;0.0
HS_DIESEL;0.013437814525991212;0.0011876041022542937;0.0
OCGT;0.0;0.0;0.0
CCGT;0.0;0.0;0.0
ST_BIOMASS;0.0;0.0;0.0
ST_SNG;0.0;0.0;0.0
CCGT_SUR;0.0;0.0;0.0
IND_COGEN_GAS;0.0;0.0;0.0
IND_COGEN_WOOD;0.0;0.0;0.0
IND_COGEN_WASTE;0.0;0.0;0.0
IND_BOILER_GAS;0.0;0.0;0.0
IND_BOILER_WOOD;0.0;0.005286592913443722;0.0
IND_BOILER_BIOWASTE;0.0;0.0;0.0
IND_BOILER_OIL;0.0;0.0006333593614892305;0.0
IND_BOILER_COAL;0.0;0.0;0.0
IND_BOILER_WASTE;0.0;0.0;0.0
IND_DIRECT_ELEC;0.0;0.0;0.0
DHN_HP_ELEC;0.0;0.0;0.0
DHN_COGEN_GAS;0.0;0.0;0.0
DHN_COGEN_WOOD;0.0;0.0;0.0
DHN_COGEN_WASTE;0.0;0.0;0.0
DHN_BOILER_GAS;0.0;0.0;0.0
DHN_BOILER_WOOD;0.0;0.0;0.0
DHN_BOILER_OIL;0.0;0.0;0.0
DHN_DEEP_GEO;0.0;0.0;0.0
DHN_SOLAR;0.0;0.0;0.0
DEC_HP_ELEC;0.0;0.0;0.0
DEC_THHP_GAS;0.0;0.0;0.0
DEC_COGEN_GAS;0.0;0.0;0.0
DEC_COGEN_OIL;0.0;0.0;0.0
DEC_ADVCOGEN_GAS;0.0;0.0;0.0
DEC_ADVCOGEN_H2;0.0;0.0;0.0
DEC_BOILER_GAS;0.0;0.0001016739325847561;0.0
DEC_BOILER_WOOD;0.0;0.0;0.0
DEC_BOILER_OIL;0.0;0.0;0.0
DEC_SOLAR;1.2309214756476439;0.12396824293557264;0.0
DEC_DIRECT_ELEC;0.006764625323596693;0.0003645519333296988;0.0
DEC_ELEC_COLD;1.5045873099311542;0.5390764620946036;0.0
DEC_THHP_GAS_COLD;0.0;0.0;0.0
IND_ELEC_COLD;0.0;0.0;0.0
TRAMWAY_TROLLEY;0.0;0.0;0.0
BUS_COACH_DIESEL;0.0;0.0;0.0
BUS_COACH_HYDIESEL;0.0;0.0;0.0
BUS_COACH_CNG_STOICH;0.0;0.0;0.0
BUS_COACH_FC_HYBRIDH2;0.0;0.0;0.0
TRAIN_PUB;0.0;0.0;0.0
PLANE_SHORT_HAUL;0.0;0.0;0.0
PLANE_H2_SHORT_HAUL;0.0;0.0;0.0
PLANE_LONG_HAUL;0.0;0.0;0.0
CAR_GASOLINE;0.0;0.0;0.0
CAR_DIESEL;0.0;0.0;0.0
CAR_NG;0.0;0.0;0.0
CAR_METHANOL;0.0;0.0;0.0
CAR_HEV;0.0;0.0;0.0
CAR_PHEV;0.0;0.0;0.0
CAR_BEV;0.0;0.0;0.0
CAR_FUEL_CELL;0.0;0.0;0.0
TRAIN_FREIGHT;0.0;0.0;0.0
BOAT_FREIGHT_DIESEL;0.0;0.0;0.0
BOAT_FREIGHT_NG;0.0;0.0;0.0
BOAT_FREIGHT_METHANOL;0.0;0.0;0.0
CARGO_LFO;0.0;0.0;0.0
CARGO_LNG;0.0;0.0;0.0
CARGO_METHANOL;0.0;0.0;0.0
CARGO_AMMONIA;0.0;0.0;0.0
CARGO_FUELCELL_LH2;0.0;0.0;0.0
CARGO_FUELCELL_AMMONIA;0.0;0.0;0.0
CARGO_RETRO_METHANOL;0.0;0.0;0.0
CARGO_RETRO_AMMONIA;0.0;0.0;0.0
TRUCK_DIESEL;0.0;0.0;0.0
TRUCK_METHANOL;0.0;0.0;0.0
TRUCK_FUEL_CELL;0.0;0.0;0.0
TRUCK_ELEC;0.0;0.0;0.0
TRUCK_NG;0.0;0.0;0.0
EFFICIENCY;0.0;0.0;0.0
DHN;0.0;0.0;0.0
GRID;0.0;0.0;0.0
HVAC_LINE;0.1993806419649582;0.03899506820116138;0.0
HVDC_SUBSEA;0.0;0.0;0.0
GAS_PIPELINE;0.0;0.0;0.0
GAS_SUBSEA;0.0;0.0;0.0
H2_RETROFITTED;0.0;0.0;0.0
H2_NEW;0.0;0.0;0.0
H2_SUBSEA_RETRO;0.0;0.0;0.0
H2_SUBSEA_NEW;0.0;0.0;0.0
H2_ELECTROLYSIS;0.0;0.0;0.0
H2_NG;0.0;0.0;0.0
H2_BIOMASS;0.0;0.0;0.0
BIOMASS_TO_METHANE;0.0;0.0;0.0
BIOWASTE_TO_METHANE;0.0;0.0;0.0
SYN_METHANATION;0.0;0.0;0.0
BIOMETHANATION_WET_BIOMASS;0.0;0.0;0.0
BIOMETHANATION_BIOWASTE;0.0;0.0;0.0
BIOMASS_TO_JET_FUEL;0.0;0.0;0.0
BIOMASS_TO_LFO;0.0;0.0;0.0
BIOWASTE_TO_JET_FUEL;0.0;0.0;0.0
BIOWASTE_TO_LFO;0.0;0.0;0.0
DIESEL_TO_JET_FUEL;0.0;0.0;0.0
ATM_CCS;0.0;0.0;0.0
INDUSTRY_CCS;0.0;0.0;0.0
SYN_METHANOLATION;0.0;0.0;0.0
METHANE_TO_METHANOL;0.0;0.0;0.0
BIOMASS_TO_METHANOL;0.0;0.0;0.0
BIOWASTE_TO_METHANOL;0.0;0.0;0.0
HABER_BOSCH;0.0;0.0;0.0
POWER_TO_JET_FUEL;0.0;0.0;0.0
POWER_TO_LFO;0.0;0.0;0.0
H2_TO_JET_FUEL;0.0;0.0;0.0
H2_TO_LFO;0.0;0.0;0.0
AMMONIA_TO_H2;0.0;0.0;0.0
OIL_TO_HVC;0.0;0.0;0.0
GAS_TO_HVC;0.0;0.0;0.0
BIOMASS_TO_HVC;0.0;0.0;0.0
METHANOL_TO_HVC;0.0;0.0;0.0
BATT_LI;13.432366361095825;0.15795168599448406;0.0
BATT_HS;0.06909555067506443;0.007858512589706263;0.0
CAES;0.0;0.0;0.0
BEV_BATT;0.0;0.0;0.0
PHEV_BATT;0.0;0.0;0.0
DAM_STORAGE;0.0;0.0;0.0
PHS;0.0;0.0;0.0
TS_DEC_DIRECT_ELEC;0.07867184578896372;0.004885998633130055;0.0
TS_DEC_HP_ELEC;0.0;0.0;0.0
TS_DEC_THHP_GAS;0.0;0.0;0.0
TS_DEC_COGEN_GAS;0.0;0.0;0.0
TS_DEC_COGEN_OIL;0.0;0.0;0.0
TS_DEC_ADVCOGEN_GAS;0.0;0.0;0.0
TS_DEC_ADVCOGEN_H2;0.0;0.0;0.0
TS_DEC_BOILER_GAS;0.0;0.0;0.0
TS_DEC_BOILER_WOOD;0.0;0.0;0.0
TS_DEC_BOILER_OIL;0.0;0.0;0.0
TS_DHN_DAILY;0.0;0.0;0.0
TS_DHN_SEASONAL;0.0;0.0;0.0
TS_HIGH_TEMP;0.0;0.0;0.0
GAS_STORAGE;0.0;0.0;0.0
H2_STORAGE;0.0;0.0;0.0
DIESEL_STORAGE;0.0;0.010644062955600468;0.0
JET_FUEL_STORAGE;0.0;0.00039111350976499487;0.0
GASOLINE_STORAGE;0.0;0.009853137499830359;0.0
LFO_STORAGE;0.0;0.0;0.0
AMMONIA_STORAGE;0.0;0.0;0.0
METHANOL_STORAGE;0.0;0.0;0.0
PT_STORAGE;0.0;0.0;0.0
ST_STORAGE;0.0;0.0;0.0
TS_COLD;0.0;0.0;0.0
CO2_STORAGE;0.0;0.0;0.0
STOVE_WOOD;0.0;0.02266413462393429;0.0
STOVE_LPG;0.2140256750699505;0.07955396894001945;0.0
STOVE_NG;0.0;0.0006542709523023656;0.0
STOVE_OIL;0.0;0.0006436575354062167;0.0
STOVE_ELEC;0.04054057624906539;0.006227607263522481;0.0
PLANE;0.0;0.0;0.0
FERMENTATION_TO_BIOETHANOL;0.0;0.0;0.0
ESTERIFICATION_TO_BIODIESEL;0.0;0.0;0.0
IND_BOILER_DIESEL;0.0;0.0009289659292260643;0.0
IND_BOILER_LPG;0.0;0.0;0.0
LPG_STORAGE;0.01069120927904381;0.0037945962672697683;0.0
LNG_STORAGE;0.0;0.0;0.0
CAR_FG_PRIVATE;0.0;0.0;0.0
BUS_FG_PRIVATE;0.0;0.0;0.0
PICKUP_TRUCK_FG_PRIVATE;0.0;0.0;0.0
SUV_FG_PRIVATE;0.0;0.0;0.0
MOTORCYCLE_FG_PRIVATE;0.0;0.0;0.0
