Regions;Technologies;Curt
C1;WIND_OFFSHORE;0.0
C1;TIDAL_STREAM;0.0
C1;PV_UTILITY;0.0
C1;TIDAL_RANGE;0.0
C1;PV_ROOFTOP;0.0
C1;DHN_SOLAR;0.0
C1;PV_HS;0.0
C1;DEC_SOLAR;0.059692843561666036
C1;HYDRO_DAM;0.0
C1;HYDRO_RIVER;0.0
C1;ST_COLLECTOR;0.0
C1;PT_COLLECTOR;0.0
C1;WIND_ONSHORE;0.0
C2;WIND_OFFSHORE;0.0
C2;TIDAL_STREAM;0.0
C2;PV_UTILITY;1.6441901047614071
C2;ST_COLLECTOR;0.0
C2;TIDAL_RANGE;0.0
C2;PV_ROOFTOP;0.0
C2;PT_COLLECTOR;0.0
C2;HYDRO_RIVER;0.0
C2;WIND_ONSHORE;0.0
C2;DEC_SOLAR;0.2542575261000092
C2;HYDRO_DAM;0.0
C2;DHN_SOLAR;0.0
C2;PV_HS;0.0
C3;DHN_SOLAR;0.0
C3;TIDAL_RANGE;0.0
C3;PT_COLLECTOR;0.0
C3;ST_COLLECTOR;0.0
C3;TIDAL_STREAM;0.0
C3;DEC_SOLAR;2.1088084964303455
C3;PV_HS;0.0
C3;WIND_OFFSHORE;0.0
C3;PV_UTILITY;7.00490975799557
C3;WIND_ONSHORE;0.0
C3;HYDRO_DAM;0.0
C3;PV_ROOFTOP;0.0
C3;HYDRO_RIVER;0.0
C4;PV_HS;0.0
C4;WIND_OFFSHORE;0.0
C4;PT_COLLECTOR;0.0
C4;WIND_ONSHORE;0.0
C4;DEC_SOLAR;1.9966340840478172
C4;HYDRO_DAM;0.0
C4;ST_COLLECTOR;0.0
C4;DHN_SOLAR;0.0
C4;TIDAL_RANGE;0.0
C4;PV_ROOFTOP;0.0
C4;PV_UTILITY;2.3797452657313114
C4;HYDRO_RIVER;0.0
C4;TIDAL_STREAM;0.0
C5;HYDRO_RIVER;0.0
C5;PV_HS;0.0
C5;PV_UTILITY;4.25223338954268
C5;WIND_OFFSHORE;0.0
C5;PT_COLLECTOR;0.0
C5;WIND_ONSHORE;0.0
C5;DEC_SOLAR;0.631984659788744
C5;PV_ROOFTOP;0.0
C5;HYDRO_DAM;0.0
C5;DHN_SOLAR;0.0
C5;TIDAL_RANGE;0.0
C5;TIDAL_STREAM;0.0
C5;ST_COLLECTOR;0.0
