param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION	PUBLIC_LIGHTING	AGRICULTURE	MINING	FISHING_OTHERS := 
C1	ELECTRICITY	3.2813054489162843	3.680149052396052	0.0	0.0	0.0	0.0	0.0	0.0
C1	LIGHTING_R_C	0.7903352611790467	0.0527116523345756	0.012778559998211	0.0	0.0	0.0	0.0	0.0
C1	LIGHTING_P	0.0	0.0	0.0	0.0	0.716681385388565	0.0	0.0	0.0
C1	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	HEAT_LOW_T_HW	0.7303075155310004	0.1134252923825798	0.0	0.0	0.0	0.0	0.0	0.0
C1	COOKING	17.020087455041825	0.2166907672815927	0.0	0.0	0.0	0.0	0.0	0.0
C1	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	SPACE_COOLING	12.511840159179576	1.4954522594034392	0.0	0.0	0.0	0.0	0.0	0.0
C1	FOOD_PRESERVATION	3.958135108150571	0.1601027129396958	0.0	0.0	0.0	0.0	0.0	0.0
C1	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_COMM	0.0	0.119882971119743	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_IND	0.0	0.0	0.6446966682710318	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	ELECTRICITY	0.2241864221458696	0.3612331750211983	0.0	0.0	0.0	0.0	0.0	0.0
C2	LIGHTING_R_C	0.0548554703809631	0.0054220182935041	0.0002889999999595	0.0	0.0	0.0	0.0	0.0
C2	LIGHTING_P	0.0	0.0	0.0	0.0	0.0211392097466665	0.0	0.0	0.0
C2	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	HEAT_LOW_T_HW	0.0981180667792182	0.0116945492621364	0.0	0.0	0.0	0.0	0.0	0.0
C2	COOKING	1.3277643361418985	0.0223259576822604	0.0	0.0	0.0	0.0	0.0	0.0
C2	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	SPACE_COOLING	0.959937129564404	0.1541554220917982	0.0	0.0	0.0	0.0	0.0	0.0
C2	FOOD_PRESERVATION	0.272742604463604	0.0161814136555728	0.0	0.0	0.0	0.0	0.0	0.0
C2	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
