Regions;Technologies;Curt
C1;WIND_OFFSHORE;0.0
C1;TIDAL_STREAM;0.0
C1;PV_UTILITY;0.05812520881012758
C1;TIDAL_RANGE;0.0
C1;PV_ROOFTOP;0.0
C1;DHN_SOLAR;0.0
C1;PV_HS;0.005798463399433578
C1;DEC_SOLAR;0.005222897349230841
C1;HYDRO_DAM;0.0
C1;HYDRO_RIVER;0.0
C1;ST_COLLECTOR;0.0
C1;PT_COLLECTOR;0.0
C1;WIND_ONSHORE;0.0
C2;WIND_OFFSHORE;0.0
C2;TIDAL_STREAM;0.0
C2;PV_UTILITY;4.9611450327860585
C2;ST_COLLECTOR;0.0
C2;TIDAL_RANGE;0.0
C2;PV_ROOFTOP;0.0
C2;PT_COLLECTOR;0.0
C2;HYDRO_RIVER;0.0
C2;WIND_ONSHORE;0.0
C2;DEC_SOLAR;0.029378678143769894
C2;HYDRO_DAM;0.0
C2;DHN_SOLAR;0.0
C2;PV_HS;0.0
C3;DHN_SOLAR;0.0
C3;TIDAL_RANGE;0.0
C3;PT_COLLECTOR;0.0
C3;ST_COLLECTOR;0.0
C3;TIDAL_STREAM;0.0
C3;DEC_SOLAR;0.24547040992504104
C3;PV_HS;0.020090920793769364
C3;WIND_OFFSHORE;0.0
C3;PV_UTILITY;75.0497509897842
C3;WIND_ONSHORE;0.0
C3;HYDRO_DAM;0.0
C3;PV_ROOFTOP;0.0
C3;HYDRO_RIVER;0.0
C4;PV_HS;0.0005176576697208051
C4;WIND_OFFSHORE;0.0
C4;PT_COLLECTOR;0.0
C4;WIND_ONSHORE;0.0
C4;DEC_SOLAR;0.07027779825311566
C4;HYDRO_DAM;0.0
C4;ST_COLLECTOR;0.0
C4;DHN_SOLAR;0.0
C4;TIDAL_RANGE;0.0
C4;PV_ROOFTOP;0.0
C4;PV_UTILITY;50.11133164377763
C4;HYDRO_RIVER;0.0
C4;TIDAL_STREAM;0.0
C5;HYDRO_RIVER;0.0
C5;PV_HS;0.0
C5;PV_UTILITY;9.428544772614579
C5;WIND_OFFSHORE;0.0
C5;PT_COLLECTOR;0.0
C5;WIND_ONSHORE;0.0
C5;DEC_SOLAR;0.20586920088612046
C5;PV_ROOFTOP;0.0
C5;HYDRO_DAM;0.0
C5;DHN_SOLAR;0.0
C5;TIDAL_RANGE;0.0
C5;TIDAL_STREAM;0.0
C5;ST_COLLECTOR;0.0
