param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION	PUBLIC_LIGHTING	AGRICULTURE	MINING	FISHING_OTHERS := 
C1	ELECTRICITY	2.2669393532616247	2.906521237845767	0.0	0.0	0.0	0.0	0.0	0.0
C1	LIGHTING_R_C	0.6363613337570726	0.042600085620791	0.012778559998211	0.0	0.0	0.0	0.0	0.0
C1	LIGHTING_P	0.0	0.0	0.0	0.0	0.5642885902606443	0.0	0.0	0.0
C1	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	HEAT_LOW_T_HW	0.6175322727715805	0.0882987384106983	0.0	0.0	0.0	0.0	0.0	0.0
C1	COOKING	17.020087455041825	0.1706037625356194	0.0	0.0	0.0	0.0	0.0	0.0
C1	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	SPACE_COOLING	9.021996263430191	1.168156087682252	0.0	0.0	0.0	0.0	0.0	0.0
C1	FOOD_PRESERVATION	2.8427117991832724	0.1645552228026663	0.0	0.0	0.0	0.0	0.0	0.0
C1	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_COMM	0.0	0.1568827021306359	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_IND	0.0	0.0	0.6695396228095376	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	ELECTRICITY	0.1360140330388896	0.2384517215254951	0.0	0.0	0.0	0.0	0.0	0.0
C2	LIGHTING_R_C	0.0400034639201383	0.0037957021473669	0.0002889999999595	0.0	0.0	0.0	0.0	0.0
C2	LIGHTING_P	0.0	0.0	0.0	0.0	0.0144158131004511	0.0	0.0	0.0
C2	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
