Technologies;F;f_min;f_max;Losses;Year_energy_flux;Storage_in_max;Storage_out_max
BATT_LI;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BATT_HS;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAES;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BEV_BATT;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PHEV_BATT;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DAM_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PHS;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_DIRECT_ELEC;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_HP_ELEC;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_THHP_GAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_COGEN_GAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_COGEN_OIL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_ADVCOGEN_GAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_ADVCOGEN_H2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_BOILER_GAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_BOILER_WOOD;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DEC_BOILER_OIL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DHN_DAILY;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_DHN_SEASONAL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_HIGH_TEMP;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GAS_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H2_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DIESEL_STORAGE;26.427595258629676;26.427595258629676;5000000000000000.0;0.0;53.32191025584166;0.0;0.0
JET_FUEL_STORAGE;0.0;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
GASOLINE_STORAGE;24.463847213167234;24.463847213167234;5000000000000000.0;0.0;0.0;0.0;0.0
LFO_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AMMONIA_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
METHANOL_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PT_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ST_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TS_COLD;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CO2_STORAGE;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LPG_STORAGE;0.0;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
LNG_STORAGE;0.0;0.0;4000000000000000.0;0.0;0.0;0.0;0.0
SUV_ELEC_PRIVATE_BATT;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MOTORCYCLE_ELEC_PRIVATE_BATT;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BUS_ELEC_PUBLIC_BATT;0.0;0.0;0.0;0.0;0.0;0.0;0.0
