param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION	PUBLIC_LIGHTING	AGRICULTURE	MINING	FISHING_OTHERS := 
C1	ELECTRICITY	1.0895976968102334	1.8436755114329	0.0	0.0	0.0	0.0	0.0	0.0
C1	LIGHTING_R_C	0.406104229773139	0.0272844780544959	0.012778559998211	0.0	0.0	0.0	0.0	0.0
C1	LIGHTING_P	0.0	0.0	0.0	0.0	0.345099999951686	0.0	0.0	0.0
C1	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	HEAT_LOW_T_HW	0.3119888999999999	0.0536525	0.0	0.0	0.0	0.0	0.0	0.0
C1	COOKING	14.378358054	0.1060450298845164	0.0	0.0	0.0	0.0	0.0	0.0
C1	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	SPACE_COOLING	4.915351499098041	0.707237	0.0	0.0	0.0	0.0	0.0	0.0
C1	FOOD_PRESERVATION	1.155216948928492	0.1394992846259896	0.0	0.0	0.0	0.0	0.0	0.0
C1	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_COMM	0.0	0.1580080890761881	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_IND	0.0	0.0	0.6795563693011105	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	ELECTRICITY	0.0261796845511166	0.0580402240336833	0.0	0.0	0.0	0.0	0.0	0.0
C2	LIGHTING_R_C	0.0160557552306308	0.0012099882075045	0.0002889999999595	0.0	0.0	0.0	0.0	0.0
C2	LIGHTING_P	0.0	0.0	0.0	0.0	0.0033047999995373	0.0	0.0	0.0
C2	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
