param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION	PUBLIC_LIGHTING	AGRICULTURE	MINING	FISHING_OTHERS := 
C1	ELECTRICITY	1.4012364140623836	1.852902762458488	0.0	0.0	0.0	0.0	0.0	0.0
C1	LIGHTING_R_C	0.4526882578152309	0.0301644509544278	0.012778559998211	0.0	0.0	0.0	0.0	0.0
C1	LIGHTING_P	0.0	0.0	0.0	0.0	0.3581168865817645	0.0	0.0	0.0
C1	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	HEAT_LOW_T_HW	4.642940059976559	0.0540870748550513	0.0	0.0	0.0	0.0	0.0	0.0
C1	COOKING	14.378358054	0.1095124022857581	0.0	0.0	0.0	0.0	0.0	0.0
C1	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	SPACE_COOLING	5.745153063748861	0.7245500355739354	0.0	0.0	0.0	0.0	0.0	0.0
C1	FOOD_PRESERVATION	2.752790792544304	0.2048090289884815	0.0	0.0	0.0	0.0	0.0	0.0
C1	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_COMM	0.0	0.2617357810951953	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_IND	0.0	0.0	0.7253844465933759	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	ELECTRICITY	0.065417513151962	0.0599364254876113	0.0	0.0	0.0	0.0	0.0	0.0
C2	LIGHTING_R_C	0.0209065605391903	0.001575640139472	0.0002889999999595	0.0	0.0	0.0	0.0	0.0
C2	LIGHTING_P	0.0	0.0	0.0	0.0	0.0049564207204964	0.0	0.0	0.0
C2	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	HEAT_LOW_T_HW	0.5651171159980755	0.0019364196679894	0.0	0.0	0.0	0.0	0.0	0.0
C2	COOKING	1.067154262	0.0043704253875758	0.0	0.0	0.0	0.0	0.0	0.0
C2	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	SPACE_COOLING	0.253227884457973	0.0289055404496272	0.0	0.0	0.0	0.0	0.0	0.0
C2	FOOD_PRESERVATION	0.2203550898349908	0.019024214725404	0.0	0.0	0.0	0.0	0.0	0.0
C2	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	MECHANICAL_ENERGY_COMM	0.0	0.0276992622774896	0.0	0.0	0.0	0.0	0.0	0.0
C2	MECHANICAL_ENERGY_IND	0.0	0.0	0.0252777351438074	0.0	0.0	0.0	0.0	0.0
C2	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	ELECTRICITY	8.093792659731571	18.85929745903358	0.0	0.0	0.0	0.0	0.0	0.0
C3	LIGHTING_R_C	1.93389250912428	0.274857771035507	0.1262107199823305	0.0	0.0	0.0	0.0	0.0
C3	LIGHTING_P	0.0	0.0	0.0	0.0	1.836979587951616	0.0	0.0	0.0
C3	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	HEAT_LOW_T_HW	7.339885942303808	0.5787829619853593	0.0	0.0	0.0	0.0	0.0	0.0
C3	COOKING	53.074124247	1.112651779274288	0.0	0.0	0.0	0.0	0.0	0.0
C3	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	SPACE_COOLING	34.91716031076379	7.653471744563902	0.0	0.0	0.0	0.0	0.0	0.0
C3	FOOD_PRESERVATION	9.871424540518504	0.9649244471720924	0.0	0.0	0.0	0.0	0.0	0.0
C3	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	MECHANICAL_ENERGY_COMM	0.0	0.8466901949196277	0.0	0.0	0.0	0.0	0.0	0.0
C3	MECHANICAL_ENERGY_IND	0.0	0.0	6.453262743003409	0.0	0.0	0.0	0.0	0.0
C3	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C3	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	ELECTRICITY	2.4876491801466543	5.112011380110727	0.0	0.0	0.0	0.0	0.0	0.0
C4	LIGHTING_R_C	0.7881198063178614	0.0821786595418376	0.0270490399962131	0.0	0.0	0.0	0.0	0.0
C4	LIGHTING_P	0.0	0.0	0.0	0.0	0.4018931927520907	0.0	0.0	0.0
C4	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	HEAT_LOW_T_HW	7.268775229103632	0.1595616890097186	0.0	0.0	0.0	0.0	0.0	0.0
C4	COOKING	21.965367889	0.3139398490182927	0.0	0.0	0.0	0.0	0.0	0.0
C4	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	SPACE_COOLING	10.928736219035065	2.1385612151915665	0.0	0.0	0.0	0.0	0.0	0.0
C4	FOOD_PRESERVATION	4.328589381322034	0.423869267657021	0.0	0.0	0.0	0.0	0.0	0.0
C4	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	MECHANICAL_ENERGY_COMM	0.0	0.4802125474145483	0.0	0.0	0.0	0.0	0.0	0.0
C4	MECHANICAL_ENERGY_IND	0.0	0.0	1.486606837335305	0.0	0.0	0.0	0.0	0.0
C4	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	ELECTRICITY	5.006268016172266	13.091756057078	0.0	0.0	0.0	0.0	0.0	0.0
C5	LIGHTING_R_C	0.8040340891748822	0.1932297176213164	0.0656398899908104	0.0	0.0	0.0	0.0	0.0
C5	LIGHTING_P	0.0	0.0	0.0	0.0	0.7522520500045768	0.0	0.0	0.0
C5	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	HEAT_LOW_T_HW	1.7039497139019102	0.4153780598061101	0.0	0.0	0.0	0.0	0.0	0.0
C5	COOKING	20.165721092	0.7937916748647237	0.0	0.0	0.0	0.0	0.0	0.0
C5	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	SPACE_COOLING	18.45994682631905	5.477132928625885	0.0	0.0	0.0	0.0	0.0	0.0
C5	FOOD_PRESERVATION	5.269980010527728	0.5912644658538602	0.0	0.0	0.0	0.0	0.0	0.0
C5	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	MECHANICAL_ENERGY_COMM	0.0	0.4469215724881984	0.0	0.0	0.0	0.0	0.0	0.0
C5	MECHANICAL_ENERGY_IND	0.0	0.0	3.3119117422439937	0.0	0.0	0.0	0.0	0.0
C5	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
;
