param : 	avail_local	avail_exterior	gwp_op_local	c_op_local := 
C1	ELECTRICITY	0.0	1000000.0	0.412971	0.063732
C1	GASOLINE	0.0	1000000.0	0.3448	0.05348
C1	DIESEL	0.0	1000000.0	0.3148	0.04663
C1	GASOLINE_RE	0.0	0.0	0.0	0.122502774
C1	DIESEL_RE	0.0	0.0	0.0	0.131394244
C1	LFO	0.0	1.0	0.3115	0.035454
C1	LFO_RE	0.0	0.0	0.0	0.1502
C1	JET_FUEL	0.0	1.0	0.3115	0.035454
C1	JET_FUEL_RE	0.0	0.0	0.0	0.1502
C1	GAS	0.0	0.0	0.2666	0.003808
C1	GAS_RE	0.0	0.0	0.0	0.132345636
C1	WOOD	26.065896	0.0	0.0118	0.016981
C1	WET_BIOMASS	0.0	0.0	0.01056	0.010318121
C1	ENERGY_CROPS_2	0.0	0.0	0.00756	0.010318121
C1	BIOWASTE	0.0	0.0	0.00324	0.010318121
C1	BIOMASS_RESIDUES	101.231438	0.0	0.0118	0.010318
C1	COAL	0.0	0.0	0.4	0.017657892
C1	URANIUM	0.0	0.0	0.0	0.003876456
C1	WASTE	0.0	0.0	0.1501	0.021188
C1	H2	0.0	0.0	0.36	0.088003981
C1	H2_RE	0.0	0.0	0.0	0.119242396
C1	AMMONIA	0.0	0.0	0.46	0.094714031
C1	METHANOL	0.0	0.0	0.41	0.101985823
C1	AMMONIA_RE	0.0	0.0	0.0	0.081823311
C1	METHANOL_RE	0.0	0.0	0.0	0.111323944
C1	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
C1	RES_WIND	Infinity	0.0	0.0	0.0
C1	RES_SOLAR	Infinity	0.0	0.0	0.0
C1	RES_HYDRO	Infinity	0.0	0.0	0.0
C1	RES_GEO	Infinity	0.0	0.0	0.0
C1	CO2_ATM	0.0	Infinity	0.0	0.0
C1	CO2_INDUSTRY	0.0	0.0	0.0	0.0
C1	CO2_CAPTURED	0.0	0.0	0.0	0.0
C1	PT_HEAT	0.0	0.0	0.0	0.0
C1	ST_HEAT	0.0	0.0	0.0	0.0
C1	LPG	0.0	1000000.0	0.283609	0.021579
C1	LNG	0.0	1.0	0.2666	0.010663
C1	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
