Resources;avail_local;avail_exterior;R_year_local;R_year_exterior;R_year_import;R_year_export
ELECTRICITY;0.0;11.59262;0.0;11.592619803273333;10.352961119433992;10.414354160954808
GASOLINE;0.0;5000000.0;0.0;0.0;0.0;0.0
DIESEL;0.0;116.409596;0.0;12.048397607821197;0.0;0.0
GASOLINE_RE;0.0;0.0;0.0;0.0;0.0;0.0
DIESEL_RE;0.0;0.0;0.0;0.0;0.0;0.0
LFO;0.0;5.0;0.0;0.0;0.0;0.0
LFO_RE;0.0;0.0;0.0;0.0;0.0;0.0
JET_FUEL;0.0;5.0;0.0;0.0;0.0;0.0
JET_FUEL_RE;0.0;0.0;0.0;0.0;0.0;0.0
GAS;0.0;0.0;0.0;0.0;0.0;0.0
GAS_RE;0.0;0.0;0.0;0.0;0.0;0.0
WOOD;58.38847;0.0;0.0;0.0;0.0;0.0
WET_BIOMASS;0.0;0.0;0.0;0.0;0.0;0.0
ENERGY_CROPS_2;0.0;0.0;0.0;0.0;0.0;0.0
BIOWASTE;0.0;0.0;0.0;0.0;0.0;0.0
BIOMASS_RESIDUES;226.761769;0.0;0.0;0.0;0.0;0.0
COAL;0.0;0.0;0.0;0.0;0.0;0.0
URANIUM;0.0;0.0;0.0;0.0;0.0;0.0
WASTE;0.0;0.0;0.0;0.0;0.0;0.0
H2;0.0;0.0;0.0;0.0;0.0;0.0
H2_RE;0.0;0.0;0.0;0.0;0.0;0.0
AMMONIA;0.0;0.0;0.0;0.0;0.0;0.0
METHANOL;0.0;0.0;0.0;0.0;0.0;0.0
AMMONIA_RE;0.0;0.0;0.0;0.0;0.0;0.0
METHANOL_RE;0.0;0.0;0.0;0.0;0.0;0.0
CO2_EMISSIONS;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
RES_WIND;5000000000000000.0;0.0;0.0;0.0;0.0;0.0
RES_SOLAR;5000000000000000.0;0.0;227.37788310561052;0.0;0.0;0.0
RES_HYDRO;5000000000000000.0;0.0;0.0;0.0;0.0;0.0
RES_GEO;5000000000000000.0;0.0;0.0;0.0;0.0;0.0
CO2_ATM;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
CO2_INDUSTRY;0.0;0.0;0.0;0.0;0.0;0.0
CO2_CAPTURED;0.0;0.0;0.0;0.0;0.0;0.0
PT_HEAT;0.0;0.0;0.0;0.0;0.0;0.0
ST_HEAT;0.0;0.0;0.0;0.0;0.0;0.0
LPG;0.0;5000000.0;0.0;143.50092557523436;0.0;0.0
LNG;0.0;5.0;0.0;0.0;0.0;0.0
CO2_EMISSIONS_CAPTURED;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
CO2_EMISSIONS_ATM;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
