Regions;Technologies;Typical_days;Hours;F_t
C1;AGR_MACHINERY_DIESEL;1;1;0.0
C1;AGR_MACHINERY_DIESEL;1;2;0.0
C1;AGR_MACHINERY_DIESEL;1;3;0.0
C1;AGR_MACHINERY_DIESEL;1;4;0.0
C1;AGR_MACHINERY_DIESEL;1;5;0.0
C1;AGR_MACHINERY_DIESEL;1;6;0.0
C1;AGR_MACHINERY_DIESEL;1;7;0.0
C1;AGR_MACHINERY_DIESEL;1;8;0.0
C1;AGR_MACHINERY_DIESEL;1;9;0.0
C1;AGR_MACHINERY_DIESEL;1;10;0.0
C1;AGR_MACHINERY_DIESEL;1;11;0.0
C1;AGR_MACHINERY_DIESEL;1;12;0.0
C1;AGR_MACHINERY_DIESEL;1;13;0.0
C1;AGR_MACHINERY_DIESEL;1;14;0.0
C1;AGR_MACHINERY_DIESEL;1;15;0.0
C1;AGR_MACHINERY_DIESEL;1;16;0.0
C1;AGR_MACHINERY_DIESEL;1;17;0.0
C1;AGR_MACHINERY_DIESEL;1;18;0.0
C1;AGR_MACHINERY_DIESEL;1;19;0.0
C1;AGR_MACHINERY_DIESEL;1;20;0.0
C1;AGR_MACHINERY_DIESEL;1;21;0.0
C1;AGR_MACHINERY_DIESEL;1;22;0.0
C1;AGR_MACHINERY_DIESEL;1;23;0.0
C1;AGR_MACHINERY_DIESEL;1;24;0.0
C1;AGR_MACHINERY_DIESEL;2;1;0.0
C1;AGR_MACHINERY_DIESEL;2;2;0.0
C1;AGR_MACHINERY_DIESEL;2;3;0.0
C1;AGR_MACHINERY_DIESEL;2;4;0.0
C1;AGR_MACHINERY_DIESEL;2;5;0.0
C1;AGR_MACHINERY_DIESEL;2;6;0.0
C1;AGR_MACHINERY_DIESEL;2;7;0.0
C1;AGR_MACHINERY_DIESEL;2;8;0.0
C1;AGR_MACHINERY_DIESEL;2;9;0.0
C1;AGR_MACHINERY_DIESEL;2;10;0.0
C1;AGR_MACHINERY_DIESEL;2;11;0.0
C1;AGR_MACHINERY_DIESEL;2;12;0.0
C1;AGR_MACHINERY_DIESEL;2;13;0.0
C1;AGR_MACHINERY_DIESEL;2;14;0.0
C1;AGR_MACHINERY_DIESEL;2;15;0.0
C1;AGR_MACHINERY_DIESEL;2;16;0.0
C1;AGR_MACHINERY_DIESEL;2;17;0.0
C1;AGR_MACHINERY_DIESEL;2;18;0.0
C1;AGR_MACHINERY_DIESEL;2;19;0.0
C1;AGR_MACHINERY_DIESEL;2;20;0.0
C1;AGR_MACHINERY_DIESEL;2;21;0.0
C1;AGR_MACHINERY_DIESEL;2;22;0.0
C1;AGR_MACHINERY_DIESEL;2;23;0.0
C1;AGR_MACHINERY_DIESEL;2;24;0.0
C1;AGR_MACHINERY_DIESEL;3;1;0.0
C1;AGR_MACHINERY_DIESEL;3;2;0.0
C1;AGR_MACHINERY_DIESEL;3;3;0.0
C1;AGR_MACHINERY_DIESEL;3;4;0.0
C1;AGR_MACHINERY_DIESEL;3;5;0.0
C1;AGR_MACHINERY_DIESEL;3;6;0.0
C1;AGR_MACHINERY_DIESEL;3;7;0.0
C1;AGR_MACHINERY_DIESEL;3;8;0.0
C1;AGR_MACHINERY_DIESEL;3;9;0.0
C1;AGR_MACHINERY_DIESEL;3;10;0.0
C1;AGR_MACHINERY_DIESEL;3;11;0.0
C1;AGR_MACHINERY_DIESEL;3;12;0.0
C1;AGR_MACHINERY_DIESEL;3;13;0.0
C1;AGR_MACHINERY_DIESEL;3;14;0.0
C1;AGR_MACHINERY_DIESEL;3;15;0.0
C1;AGR_MACHINERY_DIESEL;3;16;0.0
C1;AGR_MACHINERY_DIESEL;3;17;0.0
C1;AGR_MACHINERY_DIESEL;3;18;0.0
C1;AGR_MACHINERY_DIESEL;3;19;0.0
C1;AGR_MACHINERY_DIESEL;3;20;0.0
C1;AGR_MACHINERY_DIESEL;3;21;0.0
C1;AGR_MACHINERY_DIESEL;3;22;0.0
C1;AGR_MACHINERY_DIESEL;3;23;0.0
C1;AGR_MACHINERY_DIESEL;3;24;0.0
C1;AGR_MACHINERY_DIESEL;4;1;0.0
C1;AGR_MACHINERY_DIESEL;4;2;0.0
C1;AGR_MACHINERY_DIESEL;4;3;0.0
C1;AGR_MACHINERY_DIESEL;4;4;0.0
C1;AGR_MACHINERY_DIESEL;4;5;0.0
C1;AGR_MACHINERY_DIESEL;4;6;0.0
C1;AGR_MACHINERY_DIESEL;4;7;0.0
C1;AGR_MACHINERY_DIESEL;4;8;0.0
C1;AGR_MACHINERY_DIESEL;4;9;0.0
C1;AGR_MACHINERY_DIESEL;4;10;0.0
C1;AGR_MACHINERY_DIESEL;4;11;0.0
C1;AGR_MACHINERY_DIESEL;4;12;0.0
C1;AGR_MACHINERY_DIESEL;4;13;0.0
C1;AGR_MACHINERY_DIESEL;4;14;0.0
C1;AGR_MACHINERY_DIESEL;4;15;0.0
C1;AGR_MACHINERY_DIESEL;4;16;0.0
C1;AGR_MACHINERY_DIESEL;4;17;0.0
C1;AGR_MACHINERY_DIESEL;4;18;0.0
C1;AGR_MACHINERY_DIESEL;4;19;0.0
C1;AGR_MACHINERY_DIESEL;4;20;0.0
C1;AGR_MACHINERY_DIESEL;4;21;0.0
C1;AGR_MACHINERY_DIESEL;4;22;0.0
C1;AGR_MACHINERY_DIESEL;4;23;0.0
C1;AGR_MACHINERY_DIESEL;4;24;0.0
C1;AGR_MACHINERY_DIESEL;5;1;0.0
C1;AGR_MACHINERY_DIESEL;5;2;0.0
C1;AGR_MACHINERY_DIESEL;5;3;0.0
C1;AGR_MACHINERY_DIESEL;5;4;0.0
C1;AGR_MACHINERY_DIESEL;5;5;0.0
C1;AGR_MACHINERY_DIESEL;5;6;0.0
C1;AGR_MACHINERY_DIESEL;5;7;0.0
C1;AGR_MACHINERY_DIESEL;5;8;0.0
C1;AGR_MACHINERY_DIESEL;5;9;0.0
C1;AGR_MACHINERY_DIESEL;5;10;0.0
C1;AGR_MACHINERY_DIESEL;5;11;0.0
C1;AGR_MACHINERY_DIESEL;5;12;0.0
C1;AGR_MACHINERY_DIESEL;5;13;0.0
C1;AGR_MACHINERY_DIESEL;5;14;0.0
C1;AGR_MACHINERY_DIESEL;5;15;0.0
C1;AGR_MACHINERY_DIESEL;5;16;0.0
C1;AGR_MACHINERY_DIESEL;5;17;0.0
C1;AGR_MACHINERY_DIESEL;5;18;0.0
C1;AGR_MACHINERY_DIESEL;5;19;0.0
C1;AGR_MACHINERY_DIESEL;5;20;0.0
C1;AGR_MACHINERY_DIESEL;5;21;0.0
C1;AGR_MACHINERY_DIESEL;5;22;0.0
C1;AGR_MACHINERY_DIESEL;5;23;0.0
C1;AGR_MACHINERY_DIESEL;5;24;0.0
C1;AGR_MACHINERY_DIESEL;6;1;0.0
C1;AGR_MACHINERY_DIESEL;6;2;0.0
C1;AGR_MACHINERY_DIESEL;6;3;0.0
C1;AGR_MACHINERY_DIESEL;6;4;0.0
C1;AGR_MACHINERY_DIESEL;6;5;0.0
C1;AGR_MACHINERY_DIESEL;6;6;0.0
C1;AGR_MACHINERY_DIESEL;6;7;0.0
C1;AGR_MACHINERY_DIESEL;6;8;0.0
C1;AGR_MACHINERY_DIESEL;6;9;0.0
C1;AGR_MACHINERY_DIESEL;6;10;0.0
C1;AGR_MACHINERY_DIESEL;6;11;0.0
C1;AGR_MACHINERY_DIESEL;6;12;0.0
C1;AGR_MACHINERY_DIESEL;6;13;0.0
C1;AGR_MACHINERY_DIESEL;6;14;0.0
C1;AGR_MACHINERY_DIESEL;6;15;0.0
C1;AGR_MACHINERY_DIESEL;6;16;0.0
C1;AGR_MACHINERY_DIESEL;6;17;0.0
C1;AGR_MACHINERY_DIESEL;6;18;0.0
C1;AGR_MACHINERY_DIESEL;6;19;0.0
C1;AGR_MACHINERY_DIESEL;6;20;0.0
C1;AGR_MACHINERY_DIESEL;6;21;0.0
C1;AGR_MACHINERY_DIESEL;6;22;0.0
C1;AGR_MACHINERY_DIESEL;6;23;0.0
C1;AGR_MACHINERY_DIESEL;6;24;0.0
C1;AGR_MACHINERY_DIESEL;7;1;0.0
C1;AGR_MACHINERY_DIESEL;7;2;0.0
C1;AGR_MACHINERY_DIESEL;7;3;0.0
C1;AGR_MACHINERY_DIESEL;7;4;0.0
C1;AGR_MACHINERY_DIESEL;7;5;0.0
C1;AGR_MACHINERY_DIESEL;7;6;0.0
C1;AGR_MACHINERY_DIESEL;7;7;0.0
C1;AGR_MACHINERY_DIESEL;7;8;0.0
C1;AGR_MACHINERY_DIESEL;7;9;0.0
C1;AGR_MACHINERY_DIESEL;7;10;0.0
C1;AGR_MACHINERY_DIESEL;7;11;0.0
C1;AGR_MACHINERY_DIESEL;7;12;0.0
C1;AGR_MACHINERY_DIESEL;7;13;0.0
C1;AGR_MACHINERY_DIESEL;7;14;0.0
C1;AGR_MACHINERY_DIESEL;7;15;0.0
