From;To;Resources;Network_type;Transfer_capacity
C1;C1;DIESEL;DIESEL_PIPELINE;
C1;C1;ELECTRICITY;HVAC_LINE;
C1;C1;ELECTRICITY;HVDC_SUBSEA;
C1;C1;GAS;GAS_PIPELINE;
C1;C1;GAS;GAS_SUBSEA;
C1;C1;GASOLINE;GASOLINE_PIPELINE;
C1;C1;H2;H2_NEW;
C1;C1;H2;H2_RETROFITTED;
C1;C1;H2;H2_SUBSEA_NEW;
C1;C1;H2;H2_SUBSEA_RETRO;
C1;C1;JET_FUEL;JET_FUEL_PIPELINE;
C1;C1;LFO;LFO_PIPELINE;
C1;C1;LPG;LPG_PIPELINE;
C1;C2;DIESEL;DIESEL_PIPELINE;
C1;C2;ELECTRICITY;HVAC_LINE;
C1;C2;ELECTRICITY;HVDC_SUBSEA;
C1;C2;GAS;GAS_PIPELINE;
C1;C2;GAS;GAS_SUBSEA;
C1;C2;GASOLINE;GASOLINE_PIPELINE;
C1;C2;H2;H2_NEW;
C1;C2;H2;H2_RETROFITTED;
C1;C2;H2;H2_SUBSEA_NEW;
C1;C2;H2;H2_SUBSEA_RETRO;
C1;C2;JET_FUEL;JET_FUEL_PIPELINE;
C1;C2;LFO;LFO_PIPELINE;
C1;C2;LPG;LPG_PIPELINE;
C1;C3;DIESEL;DIESEL_PIPELINE;
C1;C3;ELECTRICITY;HVAC_LINE;0.001850873064658061
C1;C3;ELECTRICITY;HVDC_SUBSEA;
C1;C3;GAS;GAS_PIPELINE;
C1;C3;GAS;GAS_SUBSEA;
C1;C3;GASOLINE;GASOLINE_PIPELINE;
C1;C3;H2;H2_NEW;
C1;C3;H2;H2_RETROFITTED;
C1;C3;H2;H2_SUBSEA_NEW;
C1;C3;H2;H2_SUBSEA_RETRO;
C1;C3;JET_FUEL;JET_FUEL_PIPELINE;
C1;C3;LFO;LFO_PIPELINE;
C1;C3;LPG;LPG_PIPELINE;
C1;C4;DIESEL;DIESEL_PIPELINE;
C1;C4;ELECTRICITY;HVAC_LINE;
C1;C4;ELECTRICITY;HVDC_SUBSEA;
