Regions;Technologies;F;f_min;f_max;F_year
C1;NUCLEAR;;;;
C1;NUCLEAR_SMR;;;;
C1;CCGT_AMMONIA;;;;
C1;COAL_US;;;;
C1;COAL_IGCC;;;;
C1;BIOMASS_TO_POWER;;;;
C1;PV_ROOFTOP;;;;
C1;PV_UTILITY;0.002213820302832053;;1000000000000000.0;3.3701506719980814
C1;PV_HS;0.000346255592355908;1.92e-05;1000000000000000.0;0.5275328760804397
C1;PT_COLLECTOR;;;;
C1;ST_COLLECTOR;;;;
C1;PT_POWER_BLOCK;;;;
C1;ST_POWER_BLOCK;;;;
C1;WIND_ONSHORE;;;;
C1;WIND_OFFSHORE;;;;
C1;HYDRO_DAM;;;;
C1;HYDRO_RIVER;;;;
C1;TIDAL_STREAM;;;;
C1;TIDAL_RANGE;;;;
C1;WAVE;;;;
C1;GEOTHERMAL;;;;
C1;GENSET_DIESEL;;;1000000000000000.0;6.969927200835746e-05
C1;HS_DIESEL;0.0003969285659600537;0.0001093;1000000000000000.0;1.5413222673530123
C1;OCGT;;;;
C1;CCGT;;;;
C1;ST_BIOMASS;;;;
C1;ST_SNG;;;;
C1;CCGT_SUR;;;;
C1;IND_COGEN_GAS;;;;
C1;IND_COGEN_WOOD;;;;
C1;IND_COGEN_WASTE;;;;
C1;IND_BOILER_GAS;;;;
C1;IND_BOILER_WOOD;0.0003044147206988;0.0003044147206988;1000000000000000.0;
C1;IND_BOILER_BIOWASTE;;;;
C1;IND_BOILER_OIL;7.12040237734819e-05;7.12040237734819e-05;1000000000000000.0;
C1;IND_BOILER_COAL;;;;
C1;IND_BOILER_WASTE;;;;
C1;IND_DIRECT_ELEC;;;;
C1;DHN_HP_ELEC;;;;
C1;DHN_COGEN_GAS;;;;
C1;DHN_COGEN_WOOD;;;;
C1;DHN_COGEN_WASTE;;;;
C1;DHN_BOILER_GAS;;;;
C1;DHN_BOILER_WOOD;;;;
C1;DHN_BOILER_OIL;;;;
C1;DHN_DEEP_GEO;;;;
C1;DHN_SOLAR;;;;
C1;DEC_HP_ELEC;;;;
C1;DEC_THHP_GAS;;;;
C1;DEC_COGEN_GAS;;;;
C1;DEC_COGEN_OIL;;;;
C1;DEC_ADVCOGEN_GAS;;;;
C1;DEC_ADVCOGEN_H2;;;;
C1;DEC_BOILER_GAS;;;1000000000000000.0;0.00010853244109095912
C1;DEC_BOILER_WOOD;;;;
C1;DEC_BOILER_OIL;;;;
C1;DEC_SOLAR;0.006539136196069975;;1000000000000000.0;9.584622143018915
C1;DEC_DIRECT_ELEC;0.0005225600781650914;0.0001105877797354;1000000000000000.0;0.2547343610918505
