Regions;Technologies;Curt
C1;WIND_OFFSHORE;0.0
C1;TIDAL_STREAM;0.0
C1;PV_UTILITY;0.002841761004548783
C1;TIDAL_RANGE;0.0
C1;PV_ROOFTOP;0.0
C1;DHN_SOLAR;0.0
C1;PV_HS;2.4659047375686506e-05
C1;DEC_SOLAR;2.782242859655014
C1;HYDRO_DAM;0.0
C1;HYDRO_RIVER;0.0
C1;ST_COLLECTOR;0.0
C1;PT_COLLECTOR;0.0
C1;WIND_ONSHORE;0.0
C2;WIND_OFFSHORE;0.0
C2;TIDAL_STREAM;0.0
C2;PV_UTILITY;0.0007883694131267852
C2;ST_COLLECTOR;0.0
C2;TIDAL_RANGE;0.0
C2;PV_ROOFTOP;0.0
C2;PT_COLLECTOR;0.0
C2;HYDRO_RIVER;0.0
C2;WIND_ONSHORE;0.0
C2;DEC_SOLAR;0.25898770760541584
C2;HYDRO_DAM;0.0
C2;DHN_SOLAR;0.0
C2;PV_HS;2.43202784508817e-05
C3;DHN_SOLAR;0.0
C3;TIDAL_RANGE;0.0
C3;PT_COLLECTOR;0.0
C3;ST_COLLECTOR;0.0
C3;TIDAL_STREAM;0.0
C3;DEC_SOLAR;9.041880496152363
C3;PV_HS;2.6025043320518202e-05
C3;WIND_OFFSHORE;0.0
C3;PV_UTILITY;1.421628000095687
C3;WIND_ONSHORE;0.0
C3;HYDRO_DAM;0.0
C3;PV_ROOFTOP;0.0
C3;HYDRO_RIVER;0.0
C4;PV_HS;1.9542294610466682e-05
C4;WIND_OFFSHORE;0.0
C4;PT_COLLECTOR;0.0
C4;WIND_ONSHORE;0.0
C4;DEC_SOLAR;3.8654169499265905
C4;HYDRO_DAM;0.0
C4;ST_COLLECTOR;0.0
C4;DHN_SOLAR;0.0
C4;TIDAL_RANGE;0.0
C4;PV_ROOFTOP;0.0
C4;PV_UTILITY;0.7475891470053029
C4;HYDRO_RIVER;0.0
C4;TIDAL_STREAM;0.0
C5;HYDRO_RIVER;0.0
C5;PV_HS;3.0166696730663877e-05
C5;PV_UTILITY;0.377422353300467
C5;WIND_OFFSHORE;0.0
C5;PT_COLLECTOR;0.0
C5;WIND_ONSHORE;0.0
C5;DEC_SOLAR;4.461442890573472
C5;PV_ROOFTOP;0.0
C5;HYDRO_DAM;0.0
C5;DHN_SOLAR;0.0
C5;TIDAL_RANGE;0.0
C5;TIDAL_STREAM;0.0
C5;ST_COLLECTOR;0.0
