Resources;avail_local;avail_exterior;R_year_local;R_year_exterior;R_year_import;R_year_export
ELECTRICITY;0.0;200.0;0.0;0.0;0.0;0.0
GASOLINE;1000000000000000.0;1.0;18122.775265751152;0.011114342352623832;0.0;0.0
DIESEL;1000000000000000.0;117.409585;21516.338901473224;117.41339456694772;498.4502967743117;498.4709432248408
GASOLINE_RE;0.0;0.0;0.0;0.0;0.0;0.0
DIESEL_RE;0.0;0.0;0.0;0.0;0.0;0.0
LFO;1000000000000000.0;1.0;264.4038830420813;0.0;1.0235671584180286;1.0272643410634799
LFO_RE;0.0;0.0;0.0;0.0;0.0;0.0
JET_FUEL;1000000000000000.0;1.0;991.0895411753094;0.0;0.0;0.0
JET_FUEL_RE;0.0;0.0;0.0;0.0;0.0;0.0
GAS;35935.8852;7.5;34308.7572151981;0.940629858881695;707.5787462333162;712.1924776292203
GAS_RE;0.0;0.0;0.0;0.0;0.0;0.0
WOOD;11967.148906661;1000000000000000.0;6945.826423077093;20.27826751755013;0.05609578125427884;0.04660731248780266
WET_BIOMASS;0.0;0.0;0.0;0.0;0.0;0.0
ENERGY_CROPS_2;0.0;0.0;0.0;0.0;0.0;0.0
BIOWASTE;0.0;0.0;0.0;0.0;0.0;0.0
BIOMASS_RESIDUES;36713.015195591004;0.0;1533.2690157403474;0.0;0.0;0.0
COAL;0.0;0.0;0.0;0.0;0.0;0.0
URANIUM;0.0;0.0;0.0;0.0;0.0;0.0
WASTE;1000000000000000.0;0.0;0.0;0.0;0.0;0.0
H2;0.0;0.0;0.0;0.0;0.0;0.0
H2_RE;0.0;0.0;0.0;0.0;0.0;0.0
AMMONIA;0.0;0.0;0.0;0.0;0.0;0.0
METHANOL;0.0;0.0;0.0;0.0;0.0;0.0
AMMONIA_RE;0.0;0.0;0.0;0.0;0.0;0.0
METHANOL_RE;0.0;0.0;0.0;0.0;0.0;0.0
CO2_EMISSIONS;0.0;5000000000000000.0;0.0;6186.462734342538;0.0;0.0
RES_WIND;5000000000000000.0;0.0;119.60197498530158;0.0;0.0;0.0
RES_SOLAR;5000000000000000.0;0.0;362.33315366384727;0.0;0.0;0.0
RES_HYDRO;5000000000000000.0;0.0;3236.7581895221692;0.0;0.0;0.0
RES_GEO;5000000000000000.0;0.0;0.0;0.0;0.0;0.0
CO2_ATM;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
CO2_INDUSTRY;0.0;0.0;0.0;0.0;0.0;0.0
CO2_CAPTURED;0.0;0.0;0.0;0.0;0.0;0.0
PT_HEAT;0.0;0.0;0.0;0.0;0.0;0.0
ST_HEAT;0.0;0.0;0.0;0.0;0.0;0.0
LPG;1000000000000000.0;7.5;5968.154845076188;6.665313009167571;225.71779250200294;225.8729496090591
LNG;0.0;3.5;0.0;0.08181122667002341;1.1344009681819458;1.1344009681819243
CO2_EMISSIONS_CAPTURED;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
CO2_EMISSIONS_ATM;0.0;5000000000000000.0;0.0;0.0;0.0;0.0
