Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
AMMONIA;SA-BN;SA-BN;1;1;;;
AMMONIA;SA-BN;SA-BN;1;2;;;
AMMONIA;SA-BN;SA-BN;1;3;;;
AMMONIA;SA-BN;SA-BN;1;4;;;
AMMONIA;SA-BN;SA-BN;1;5;;;
AMMONIA;SA-BN;SA-BN;1;6;;;
AMMONIA;SA-BN;SA-BN;1;7;;;
AMMONIA;SA-BN;SA-BN;1;8;;;
AMMONIA;SA-BN;SA-BN;1;9;;;
AMMONIA;SA-BN;SA-BN;1;10;;;
AMMONIA;SA-BN;SA-BN;1;11;;;
AMMONIA;SA-BN;SA-BN;1;12;;;
AMMONIA;SA-BN;SA-BN;1;13;;;
AMMONIA;SA-BN;SA-BN;1;14;;;
AMMONIA;SA-BN;SA-BN;1;15;;;
AMMONIA;SA-BN;SA-BN;1;16;;;
AMMONIA;SA-BN;SA-BN;1;17;;;
AMMONIA;SA-BN;SA-BN;1;18;;;
AMMONIA;SA-BN;SA-BN;1;19;;;
AMMONIA;SA-BN;SA-BN;1;20;;;
AMMONIA;SA-BN;SA-BN;1;21;;;
AMMONIA;SA-BN;SA-BN;1;22;;;
AMMONIA;SA-BN;SA-BN;1;23;;;
AMMONIA;SA-BN;SA-BN;1;24;;;
AMMONIA;SA-BN;SA-BN;2;1;;;
AMMONIA;SA-BN;SA-BN;2;2;;;
AMMONIA;SA-BN;SA-BN;2;3;;;
AMMONIA;SA-BN;SA-BN;2;4;;;
AMMONIA;SA-BN;SA-BN;2;5;;;
AMMONIA;SA-BN;SA-BN;2;6;;;
AMMONIA;SA-BN;SA-BN;2;7;;;
AMMONIA;SA-BN;SA-BN;2;8;;;
AMMONIA;SA-BN;SA-BN;2;9;;;
AMMONIA;SA-BN;SA-BN;2;10;;;
AMMONIA;SA-BN;SA-BN;2;11;;;
AMMONIA;SA-BN;SA-BN;2;12;;;
AMMONIA;SA-BN;SA-BN;2;13;;;
AMMONIA;SA-BN;SA-BN;2;14;;;
AMMONIA;SA-BN;SA-BN;2;15;;;
AMMONIA;SA-BN;SA-BN;2;16;;;
AMMONIA;SA-BN;SA-BN;2;17;;;
AMMONIA;SA-BN;SA-BN;2;18;;;
AMMONIA;SA-BN;SA-BN;2;19;;;
AMMONIA;SA-BN;SA-BN;2;20;;;
AMMONIA;SA-BN;SA-BN;2;21;;;
AMMONIA;SA-BN;SA-BN;2;22;;;
AMMONIA;SA-BN;SA-BN;2;23;;;
AMMONIA;SA-BN;SA-BN;2;24;;;
AMMONIA;SA-BN;SA-BN;3;1;;;
AMMONIA;SA-BN;SA-BN;3;2;;;
AMMONIA;SA-BN;SA-BN;3;3;;;
AMMONIA;SA-BN;SA-BN;3;4;;;
AMMONIA;SA-BN;SA-BN;3;5;;;
AMMONIA;SA-BN;SA-BN;3;6;;;
AMMONIA;SA-BN;SA-BN;3;7;;;
AMMONIA;SA-BN;SA-BN;3;8;;;
AMMONIA;SA-BN;SA-BN;3;9;;;
AMMONIA;SA-BN;SA-BN;3;10;;;
AMMONIA;SA-BN;SA-BN;3;11;;;
AMMONIA;SA-BN;SA-BN;3;12;;;
AMMONIA;SA-BN;SA-BN;3;13;;;
AMMONIA;SA-BN;SA-BN;3;14;;;
AMMONIA;SA-BN;SA-BN;3;15;;;
AMMONIA;SA-BN;SA-BN;3;16;;;
AMMONIA;SA-BN;SA-BN;3;17;;;
AMMONIA;SA-BN;SA-BN;3;18;;;
AMMONIA;SA-BN;SA-BN;3;19;;;
AMMONIA;SA-BN;SA-BN;3;20;;;
AMMONIA;SA-BN;SA-BN;3;21;;;
AMMONIA;SA-BN;SA-BN;3;22;;;
AMMONIA;SA-BN;SA-BN;3;23;;;
AMMONIA;SA-BN;SA-BN;3;24;;;
AMMONIA;SA-BN;SA-BN;4;1;;;
AMMONIA;SA-BN;SA-BN;4;2;;;
AMMONIA;SA-BN;SA-BN;4;3;;;
AMMONIA;SA-BN;SA-BN;4;4;;;
AMMONIA;SA-BN;SA-BN;4;5;;;
AMMONIA;SA-BN;SA-BN;4;6;;;
AMMONIA;SA-BN;SA-BN;4;7;;;
AMMONIA;SA-BN;SA-BN;4;8;;;
AMMONIA;SA-BN;SA-BN;4;9;;;
AMMONIA;SA-BN;SA-BN;4;10;;;
AMMONIA;SA-BN;SA-BN;4;11;;;
AMMONIA;SA-BN;SA-BN;4;12;;;
AMMONIA;SA-BN;SA-BN;4;13;;;
AMMONIA;SA-BN;SA-BN;4;14;;;
AMMONIA;SA-BN;SA-BN;4;15;;;
AMMONIA;SA-BN;SA-BN;4;16;;;
AMMONIA;SA-BN;SA-BN;4;17;;;
AMMONIA;SA-BN;SA-BN;4;18;;;
AMMONIA;SA-BN;SA-BN;4;19;;;
AMMONIA;SA-BN;SA-BN;4;20;;;
AMMONIA;SA-BN;SA-BN;4;21;;;
AMMONIA;SA-BN;SA-BN;4;22;;;
AMMONIA;SA-BN;SA-BN;4;23;;;
AMMONIA;SA-BN;SA-BN;4;24;;;
AMMONIA;SA-BN;SA-BN;5;1;;;
AMMONIA;SA-BN;SA-BN;5;2;;;
AMMONIA;SA-BN;SA-BN;5;3;;;
AMMONIA;SA-BN;SA-BN;5;4;;;
AMMONIA;SA-BN;SA-BN;5;5;;;
AMMONIA;SA-BN;SA-BN;5;6;;;
AMMONIA;SA-BN;SA-BN;5;7;;;
AMMONIA;SA-BN;SA-BN;5;8;;;
AMMONIA;SA-BN;SA-BN;5;9;;;
AMMONIA;SA-BN;SA-BN;5;10;;;
AMMONIA;SA-BN;SA-BN;5;11;;;
AMMONIA;SA-BN;SA-BN;5;12;;;
AMMONIA;SA-BN;SA-BN;5;13;;;
AMMONIA;SA-BN;SA-BN;5;14;;;
AMMONIA;SA-BN;SA-BN;5;15;;;
AMMONIA;SA-BN;SA-BN;5;16;;;
AMMONIA;SA-BN;SA-BN;5;17;;;
AMMONIA;SA-BN;SA-BN;5;18;;;
AMMONIA;SA-BN;SA-BN;5;19;;;
AMMONIA;SA-BN;SA-BN;5;20;;;
AMMONIA;SA-BN;SA-BN;5;21;;;
AMMONIA;SA-BN;SA-BN;5;22;;;
AMMONIA;SA-BN;SA-BN;5;23;;;
AMMONIA;SA-BN;SA-BN;5;24;;;
AMMONIA;SA-BN;SA-BN;6;1;;;
AMMONIA;SA-BN;SA-BN;6;2;;;
AMMONIA;SA-BN;SA-BN;6;3;;;
AMMONIA;SA-BN;SA-BN;6;4;;;
AMMONIA;SA-BN;SA-BN;6;5;;;
AMMONIA;SA-BN;SA-BN;6;6;;;
AMMONIA;SA-BN;SA-BN;6;7;;;
AMMONIA;SA-BN;SA-BN;6;8;;;
AMMONIA;SA-BN;SA-BN;6;9;;;
AMMONIA;SA-BN;SA-BN;6;10;;;
AMMONIA;SA-BN;SA-BN;6;11;;;
AMMONIA;SA-BN;SA-BN;6;12;;;
AMMONIA;SA-BN;SA-BN;6;13;;;
AMMONIA;SA-BN;SA-BN;6;14;;;
AMMONIA;SA-BN;SA-BN;6;15;;;
AMMONIA;SA-BN;SA-BN;6;16;;;
AMMONIA;SA-BN;SA-BN;6;17;;;
AMMONIA;SA-BN;SA-BN;6;18;;;
AMMONIA;SA-BN;SA-BN;6;19;;;
AMMONIA;SA-BN;SA-BN;6;20;;;
AMMONIA;SA-BN;SA-BN;6;21;;;
AMMONIA;SA-BN;SA-BN;6;22;;;
