Regions;Technologies;Curt
SA-BN;WIND_OFFSHORE;0.0
SA-BN;TIDAL_STREAM;0.0
SA-BN;PV_UTILITY;0.02295582546450895
SA-BN;TIDAL_RANGE;0.0
SA-BN;PV_ROOFTOP;0.0
SA-BN;DHN_SOLAR;0.0
SA-BN;PV_HS;0.0
SA-BN;DEC_SOLAR;0.0
SA-BN;HYDRO_DAM;0.0
SA-BN;HYDRO_RIVER;0.0
SA-BN;ST_COLLECTOR;0.0
SA-BN;PT_COLLECTOR;0.0
SA-BN;WIND_ONSHORE;0.0
SA-PA;WIND_OFFSHORE;0.0
SA-PA;TIDAL_STREAM;0.0
SA-PA;PV_UTILITY;3.3095473135751377
SA-PA;ST_COLLECTOR;0.0
SA-PA;TIDAL_RANGE;0.0
SA-PA;PV_ROOFTOP;0.0
SA-PA;PT_COLLECTOR;0.0
SA-PA;HYDRO_RIVER;0.0
SA-PA;WIND_ONSHORE;0.0
SA-PA;DEC_SOLAR;0.0
SA-PA;HYDRO_DAM;0.0
SA-PA;DHN_SOLAR;0.0
SA-PA;PV_HS;0.0
SA-SC;DHN_SOLAR;0.0
SA-SC;TIDAL_RANGE;0.0
SA-SC;PT_COLLECTOR;0.0
SA-SC;ST_COLLECTOR;0.0
SA-SC;TIDAL_STREAM;0.0
SA-SC;DEC_SOLAR;0.0
SA-SC;PV_HS;0.0
SA-SC;WIND_OFFSHORE;0.0
SA-SC;PV_UTILITY;0.04824751930134297
SA-SC;WIND_ONSHORE;0.0
SA-SC;HYDRO_DAM;0.0
SA-SC;PV_ROOFTOP;0.0
SA-SC;HYDRO_RIVER;0.0
SA-TJ;PV_HS;0.0
SA-TJ;WIND_OFFSHORE;0.0
SA-TJ;PT_COLLECTOR;0.0
SA-TJ;WIND_ONSHORE;0.0
SA-TJ;DEC_SOLAR;0.0
SA-TJ;HYDRO_DAM;0.0
SA-TJ;ST_COLLECTOR;0.0
SA-TJ;DHN_SOLAR;0.0
SA-TJ;TIDAL_RANGE;0.0
SA-TJ;PV_ROOFTOP;0.0
SA-TJ;PV_UTILITY;0.0
SA-TJ;HYDRO_RIVER;0.0
SA-TJ;TIDAL_STREAM;0.0
SIN;HYDRO_RIVER;2.195378038486732
SIN;PV_HS;0.0
SIN;PV_UTILITY;2.4754866870564616
SIN;WIND_OFFSHORE;0.0
SIN;PT_COLLECTOR;0.0
SIN;WIND_ONSHORE;277.75014520437014
SIN;DEC_SOLAR;0.24808221325772437
SIN;PV_ROOFTOP;0.0
SIN;HYDRO_DAM;1.8057388426648682
SIN;DHN_SOLAR;0.0
SIN;TIDAL_RANGE;0.0
SIN;TIDAL_STREAM;0.0
SIN;ST_COLLECTOR;0.0
