Regions;Regions;Exch_freight_border
SA-BN;SA-BN;0.0
SA-BN;SA-PA;0.0
SA-BN;SA-SC;0.0
SA-BN;SA-TJ;0.0
SA-BN;SIN;0.4102136439551439
SA-PA;SA-BN;0.0
SA-PA;SA-PA;0.0
SA-PA;SA-SC;0.0
SA-PA;SA-TJ;0.0
SA-PA;SIN;32.89715860420441
SA-SC;SA-BN;0.0
SA-SC;SA-PA;0.0
SA-SC;SA-SC;0.0
SA-SC;SA-TJ;0.0
SA-SC;SIN;12.39801823722247
SA-TJ;SA-BN;0.0
SA-TJ;SA-PA;0.0
SA-TJ;SA-SC;0.0
SA-TJ;SA-TJ;0.0
SA-TJ;SIN;0.1879450365709069
SIN;SA-BN;0.4002174062686947
SIN;SA-PA;32.90206014730605
SIN;SA-SC;12.4038618732537
SIN;SA-TJ;0.2171593904832325
SIN;SIN;0.0
