Regions;Resources;avail_local;avail_exterior;R_year_local;R_year_exterior;R_year_import;R_year_export
SA-BN;ELECTRICITY;;;;;;
SA-BN;GASOLINE;;;;;;
SA-BN;DIESEL;;1.0;;1.0010631593685497;10.089573048414458;
SA-BN;GASOLINE_RE;;;;;;
SA-BN;DIESEL_RE;;;;;;
SA-BN;LFO;;;;;;
SA-BN;LFO_RE;;;;;;
SA-BN;JET_FUEL;;;;;;
SA-BN;JET_FUEL_RE;;;;;;
SA-BN;GAS;;1.0;;;;
SA-BN;GAS_RE;;;;;;
SA-BN;WOOD;22.981848591;;16.498734784260744;;;0.01753515680022471
SA-BN;WET_BIOMASS;;;;;;
SA-BN;ENERGY_CROPS_2;;;;;;
SA-BN;BIOWASTE;;;;;;
SA-BN;BIOMASS_RESIDUES;22.981848591;;;;;
SA-BN;COAL;;;;;;
SA-BN;URANIUM;;;;;;
SA-BN;WASTE;;;;;;
SA-BN;H2;;;;;;
SA-BN;H2_RE;;;;;;
SA-BN;AMMONIA;;;;;;
SA-BN;METHANOL;;;;;;
SA-BN;AMMONIA_RE;;;;;;
SA-BN;METHANOL_RE;;;;;;
SA-BN;CO2_EMISSIONS;;1000000000000000.0;;;;
SA-BN;RES_WIND;1000000000000000.0;;;;;
SA-BN;RES_SOLAR;1000000000000000.0;;0.031398151278190026;;;
SA-BN;RES_HYDRO;1000000000000000.0;;;;;
SA-BN;RES_GEO;1000000000000000.0;;;;;
SA-BN;CO2_ATM;;1000000000000000.0;;;;
SA-BN;CO2_INDUSTRY;;;;;;
SA-BN;CO2_CAPTURED;;;;;;
SA-BN;PT_HEAT;;;;;;
SA-BN;ST_HEAT;;;;;;
SA-BN;LPG;;1.0;;0.16578768872559088;0.019857307763684127;0.013059631447003051
SA-BN;LNG;;0.5;;0.02477990090299575;;0.015588185223285974
SA-BN;CO2_EMISSIONS_CAPTURED;;1000000000000000.0;;;;
SA-BN;CO2_EMISSIONS_ATM;;1000000000000000.0;;;;
SA-PA;ELECTRICITY;;;;;;
SA-PA;GASOLINE;;1.0;;0.011114342352623832;;
SA-PA;DIESEL;;116.409585;;116.41233140757916;383.2260519887319;
SA-PA;GASOLINE_RE;;;;;;
SA-PA;DIESEL_RE;;;;;;
SA-PA;LFO;;1.0;;;1.0235671584180286;
SA-PA;LFO_RE;;;;;;
SA-PA;JET_FUEL;;1.0;;;;
SA-PA;JET_FUEL_RE;;;;;;
SA-PA;GAS;;1.0;;0.940629858881695;;
SA-PA;GAS_RE;;;;;;
SA-PA;WOOD;58.38846907;1000000000000000.0;18.722652266754658;20.27826751755013;;0.01823399909613349
SA-PA;WET_BIOMASS;;;;;;
SA-PA;ENERGY_CROPS_2;;;;;;
SA-PA;BIOWASTE;;;;;;
SA-PA;BIOMASS_RESIDUES;226.761768;;;;;
SA-PA;COAL;;;;;;
SA-PA;URANIUM;;;;;;
SA-PA;WASTE;;;;;;
SA-PA;H2;;;;;;
SA-PA;H2_RE;;;;;;
SA-PA;AMMONIA;;;;;;
SA-PA;METHANOL;;;;;;
SA-PA;AMMONIA_RE;;;;;;
SA-PA;METHANOL_RE;;;;;;
SA-PA;CO2_EMISSIONS;;1000000000000000.0;;10.703200179076148;;
SA-PA;RES_WIND;1000000000000000.0;;;;;
SA-PA;RES_SOLAR;1000000000000000.0;;4.5190325083279825;;;
SA-PA;RES_HYDRO;1000000000000000.0;;;;;
SA-PA;RES_GEO;1000000000000000.0;;;;;
SA-PA;CO2_ATM;;1000000000000000.0;;;;
SA-PA;CO2_INDUSTRY;;;;;;
SA-PA;CO2_CAPTURED;;;;;;
SA-PA;PT_HEAT;;;;;;
SA-PA;ST_HEAT;;;;;;
