From;To;Resources;Network_type;Transfer_capacity
SA-BN;SA-BN;DIESEL;DIESEL_PIPELINE;
SA-BN;SA-BN;ELECTRICITY;HVAC_LINE;
SA-BN;SA-BN;ELECTRICITY;HVDC_SUBSEA;
SA-BN;SA-BN;GAS;GAS_PIPELINE;
SA-BN;SA-BN;GAS;GAS_SUBSEA;
SA-BN;SA-BN;GASOLINE;GASOLINE_PIPELINE;
SA-BN;SA-BN;H2;H2_NEW;
SA-BN;SA-BN;H2;H2_RETROFITTED;
SA-BN;SA-BN;H2;H2_SUBSEA_NEW;
SA-BN;SA-BN;H2;H2_SUBSEA_RETRO;
SA-BN;SA-BN;JET_FUEL;JET_FUEL_PIPELINE;
SA-BN;SA-BN;LFO;LFO_PIPELINE;
SA-BN;SA-BN;LPG;LPG_PIPELINE;
SA-BN;SA-PA;DIESEL;DIESEL_PIPELINE;
SA-BN;SA-PA;ELECTRICITY;HVAC_LINE;
SA-BN;SA-PA;ELECTRICITY;HVDC_SUBSEA;
SA-BN;SA-PA;GAS;GAS_PIPELINE;
SA-BN;SA-PA;GAS;GAS_SUBSEA;
SA-BN;SA-PA;GASOLINE;GASOLINE_PIPELINE;
SA-BN;SA-PA;H2;H2_NEW;
SA-BN;SA-PA;H2;H2_RETROFITTED;
SA-BN;SA-PA;H2;H2_SUBSEA_NEW;
SA-BN;SA-PA;H2;H2_SUBSEA_RETRO;
SA-BN;SA-PA;JET_FUEL;JET_FUEL_PIPELINE;
SA-BN;SA-PA;LFO;LFO_PIPELINE;
SA-BN;SA-PA;LPG;LPG_PIPELINE;
SA-BN;SA-SC;DIESEL;DIESEL_PIPELINE;
SA-BN;SA-SC;ELECTRICITY;HVAC_LINE;
SA-BN;SA-SC;ELECTRICITY;HVDC_SUBSEA;
SA-BN;SA-SC;GAS;GAS_PIPELINE;
SA-BN;SA-SC;GAS;GAS_SUBSEA;
SA-BN;SA-SC;GASOLINE;GASOLINE_PIPELINE;
SA-BN;SA-SC;H2;H2_NEW;
SA-BN;SA-SC;H2;H2_RETROFITTED;
SA-BN;SA-SC;H2;H2_SUBSEA_NEW;
SA-BN;SA-SC;H2;H2_SUBSEA_RETRO;
SA-BN;SA-SC;JET_FUEL;JET_FUEL_PIPELINE;
SA-BN;SA-SC;LFO;LFO_PIPELINE;
SA-BN;SA-SC;LPG;LPG_PIPELINE;
SA-BN;SA-TJ;DIESEL;DIESEL_PIPELINE;
SA-BN;SA-TJ;ELECTRICITY;HVAC_LINE;
SA-BN;SA-TJ;ELECTRICITY;HVDC_SUBSEA;
SA-BN;SA-TJ;GAS;GAS_PIPELINE;
SA-BN;SA-TJ;GAS;GAS_SUBSEA;
SA-BN;SA-TJ;GASOLINE;GASOLINE_PIPELINE;
SA-BN;SA-TJ;H2;H2_NEW;
SA-BN;SA-TJ;H2;H2_RETROFITTED;
SA-BN;SA-TJ;H2;H2_SUBSEA_NEW;
SA-BN;SA-TJ;H2;H2_SUBSEA_RETRO;
SA-BN;SA-TJ;JET_FUEL;JET_FUEL_PIPELINE;
SA-BN;SA-TJ;LFO;LFO_PIPELINE;
SA-BN;SA-TJ;LPG;LPG_PIPELINE;
SA-BN;SIN;DIESEL;DIESEL_PIPELINE;
SA-BN;SIN;ELECTRICITY;HVAC_LINE;
SA-BN;SIN;ELECTRICITY;HVDC_SUBSEA;
SA-BN;SIN;GAS;GAS_PIPELINE;
SA-BN;SIN;GAS;GAS_SUBSEA;
SA-BN;SIN;GASOLINE;GASOLINE_PIPELINE;
SA-BN;SIN;H2;H2_NEW;
SA-BN;SIN;H2;H2_RETROFITTED;
SA-BN;SIN;H2;H2_SUBSEA_NEW;
SA-BN;SIN;H2;H2_SUBSEA_RETRO;
SA-BN;SIN;JET_FUEL;JET_FUEL_PIPELINE;
SA-BN;SIN;LFO;LFO_PIPELINE;
SA-BN;SIN;LPG;LPG_PIPELINE;
SA-PA;SA-BN;DIESEL;DIESEL_PIPELINE;
SA-PA;SA-BN;ELECTRICITY;HVAC_LINE;
SA-PA;SA-BN;ELECTRICITY;HVDC_SUBSEA;
SA-PA;SA-BN;GAS;GAS_PIPELINE;
SA-PA;SA-BN;GAS;GAS_SUBSEA;
SA-PA;SA-BN;GASOLINE;GASOLINE_PIPELINE;
SA-PA;SA-BN;H2;H2_NEW;
SA-PA;SA-BN;H2;H2_RETROFITTED;
SA-PA;SA-BN;H2;H2_SUBSEA_NEW;
SA-PA;SA-BN;H2;H2_SUBSEA_RETRO;
SA-PA;SA-BN;JET_FUEL;JET_FUEL_PIPELINE;
SA-PA;SA-BN;LFO;LFO_PIPELINE;
SA-PA;SA-BN;LPG;LPG_PIPELINE;
SA-PA;SA-PA;DIESEL;DIESEL_PIPELINE;
SA-PA;SA-PA;ELECTRICITY;HVAC_LINE;
SA-PA;SA-PA;ELECTRICITY;HVDC_SUBSEA;
SA-PA;SA-PA;GAS;GAS_PIPELINE;
SA-PA;SA-PA;GAS;GAS_SUBSEA;
SA-PA;SA-PA;GASOLINE;GASOLINE_PIPELINE;
SA-PA;SA-PA;H2;H2_NEW;
SA-PA;SA-PA;H2;H2_RETROFITTED;
SA-PA;SA-PA;H2;H2_SUBSEA_NEW;
SA-PA;SA-PA;H2;H2_SUBSEA_RETRO;
SA-PA;SA-PA;JET_FUEL;JET_FUEL_PIPELINE;
SA-PA;SA-PA;LFO;LFO_PIPELINE;
SA-PA;SA-PA;LPG;LPG_PIPELINE;
SA-PA;SA-SC;DIESEL;DIESEL_PIPELINE;
SA-PA;SA-SC;ELECTRICITY;HVAC_LINE;
SA-PA;SA-SC;ELECTRICITY;HVDC_SUBSEA;
SA-PA;SA-SC;GAS;GAS_PIPELINE;
SA-PA;SA-SC;GAS;GAS_SUBSEA;
SA-PA;SA-SC;GASOLINE;GASOLINE_PIPELINE;
SA-PA;SA-SC;H2;H2_NEW;
SA-PA;SA-SC;H2;H2_RETROFITTED;
SA-PA;SA-SC;H2;H2_SUBSEA_NEW;
SA-PA;SA-SC;H2;H2_SUBSEA_RETRO;
SA-PA;SA-SC;JET_FUEL;JET_FUEL_PIPELINE;
SA-PA;SA-SC;LFO;LFO_PIPELINE;
SA-PA;SA-SC;LPG;LPG_PIPELINE;
SA-PA;SA-TJ;DIESEL;DIESEL_PIPELINE;
SA-PA;SA-TJ;ELECTRICITY;HVAC_LINE;
SA-PA;SA-TJ;ELECTRICITY;HVDC_SUBSEA;
SA-PA;SA-TJ;GAS;GAS_PIPELINE;
SA-PA;SA-TJ;GAS;GAS_SUBSEA;
SA-PA;SA-TJ;GASOLINE;GASOLINE_PIPELINE;
SA-PA;SA-TJ;H2;H2_NEW;
SA-PA;SA-TJ;H2;H2_RETROFITTED;
SA-PA;SA-TJ;H2;H2_SUBSEA_NEW;
SA-PA;SA-TJ;H2;H2_SUBSEA_RETRO;
SA-PA;SA-TJ;JET_FUEL;JET_FUEL_PIPELINE;
SA-PA;SA-TJ;LFO;LFO_PIPELINE;
SA-PA;SA-TJ;LPG;LPG_PIPELINE;
SA-PA;SIN;DIESEL;DIESEL_PIPELINE;
SA-PA;SIN;ELECTRICITY;HVAC_LINE;
SA-PA;SIN;ELECTRICITY;HVDC_SUBSEA;
SA-PA;SIN;GAS;GAS_PIPELINE;
SA-PA;SIN;GAS;GAS_SUBSEA;
SA-PA;SIN;GASOLINE;GASOLINE_PIPELINE;
SA-PA;SIN;H2;H2_NEW;
SA-PA;SIN;H2;H2_RETROFITTED;
SA-PA;SIN;H2;H2_SUBSEA_NEW;
SA-PA;SIN;H2;H2_SUBSEA_RETRO;
SA-PA;SIN;JET_FUEL;JET_FUEL_PIPELINE;
SA-PA;SIN;LFO;LFO_PIPELINE;
SA-PA;SIN;LPG;LPG_PIPELINE;
SA-SC;SA-BN;DIESEL;DIESEL_PIPELINE;
SA-SC;SA-BN;ELECTRICITY;HVAC_LINE;
SA-SC;SA-BN;ELECTRICITY;HVDC_SUBSEA;
SA-SC;SA-BN;GAS;GAS_PIPELINE;
SA-SC;SA-BN;GAS;GAS_SUBSEA;
SA-SC;SA-BN;GASOLINE;GASOLINE_PIPELINE;
SA-SC;SA-BN;H2;H2_NEW;
SA-SC;SA-BN;H2;H2_RETROFITTED;
SA-SC;SA-BN;H2;H2_SUBSEA_NEW;
SA-SC;SA-BN;H2;H2_SUBSEA_RETRO;
SA-SC;SA-BN;JET_FUEL;JET_FUEL_PIPELINE;
SA-SC;SA-BN;LFO;LFO_PIPELINE;
SA-SC;SA-BN;LPG;LPG_PIPELINE;
SA-SC;SA-PA;DIESEL;DIESEL_PIPELINE;
SA-SC;SA-PA;ELECTRICITY;HVAC_LINE;
SA-SC;SA-PA;ELECTRICITY;HVDC_SUBSEA;
SA-SC;SA-PA;GAS;GAS_PIPELINE;
SA-SC;SA-PA;GAS;GAS_SUBSEA;
SA-SC;SA-PA;GASOLINE;GASOLINE_PIPELINE;
SA-SC;SA-PA;H2;H2_NEW;
SA-SC;SA-PA;H2;H2_RETROFITTED;
SA-SC;SA-PA;H2;H2_SUBSEA_NEW;
SA-SC;SA-PA;H2;H2_SUBSEA_RETRO;
SA-SC;SA-PA;JET_FUEL;JET_FUEL_PIPELINE;
SA-SC;SA-PA;LFO;LFO_PIPELINE;
SA-SC;SA-PA;LPG;LPG_PIPELINE;
SA-SC;SA-SC;DIESEL;DIESEL_PIPELINE;
SA-SC;SA-SC;ELECTRICITY;HVAC_LINE;
SA-SC;SA-SC;ELECTRICITY;HVDC_SUBSEA;
SA-SC;SA-SC;GAS;GAS_PIPELINE;
SA-SC;SA-SC;GAS;GAS_SUBSEA;
SA-SC;SA-SC;GASOLINE;GASOLINE_PIPELINE;
SA-SC;SA-SC;H2;H2_NEW;
SA-SC;SA-SC;H2;H2_RETROFITTED;
SA-SC;SA-SC;H2;H2_SUBSEA_NEW;
SA-SC;SA-SC;H2;H2_SUBSEA_RETRO;
SA-SC;SA-SC;JET_FUEL;JET_FUEL_PIPELINE;
SA-SC;SA-SC;LFO;LFO_PIPELINE;
SA-SC;SA-SC;LPG;LPG_PIPELINE;
SA-SC;SA-TJ;DIESEL;DIESEL_PIPELINE;
SA-SC;SA-TJ;ELECTRICITY;HVAC_LINE;
SA-SC;SA-TJ;ELECTRICITY;HVDC_SUBSEA;
SA-SC;SA-TJ;GAS;GAS_PIPELINE;
SA-SC;SA-TJ;GAS;GAS_SUBSEA;
SA-SC;SA-TJ;GASOLINE;GASOLINE_PIPELINE;
SA-SC;SA-TJ;H2;H2_NEW;
SA-SC;SA-TJ;H2;H2_RETROFITTED;
SA-SC;SA-TJ;H2;H2_SUBSEA_NEW;
SA-SC;SA-TJ;H2;H2_SUBSEA_RETRO;
SA-SC;SA-TJ;JET_FUEL;JET_FUEL_PIPELINE;
SA-SC;SA-TJ;LFO;LFO_PIPELINE;
SA-SC;SA-TJ;LPG;LPG_PIPELINE;
SA-SC;SIN;DIESEL;DIESEL_PIPELINE;
SA-SC;SIN;ELECTRICITY;HVAC_LINE;
SA-SC;SIN;ELECTRICITY;HVDC_SUBSEA;
SA-SC;SIN;GAS;GAS_PIPELINE;0.1056898733565828
SA-SC;SIN;GAS;GAS_SUBSEA;
SA-SC;SIN;GASOLINE;GASOLINE_PIPELINE;
SA-SC;SIN;H2;H2_NEW;
SA-SC;SIN;H2;H2_RETROFITTED;
SA-SC;SIN;H2;H2_SUBSEA_NEW;
SA-SC;SIN;H2;H2_SUBSEA_RETRO;
SA-SC;SIN;JET_FUEL;JET_FUEL_PIPELINE;
