param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION	PUBLIC_LIGHTING	AGRICULTURE	MINING	FISHING_OTHERS := 
SA-BN	ELECTRICITY	2.268027	0.57953	0.001655	0.0	0.0	0.0	0.0	0.0
SA-BN	LIGHTING_R_C	0.030323753	0.0	0.0001991481	0.0	0.0	0.0	0.0	0.0
SA-BN	LIGHTING_P	0.0	0.03469215	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	COOKING	2.7502301410000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	SPACE_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	FOOD_PRESERVATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	MECHANICAL_ENERGY_COMM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	MECHANICAL_ENERGY_IND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-BN	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	ELECTRICITY	41.89661765	41.04840746	6.431694778	0.0	0.0	0.0	0.0	0.0
SA-PA	LIGHTING_R_C	0.912761733	0.0	0.796807111	0.0	0.0	0.0	0.0	0.0
SA-PA	LIGHTING_P	0.0	0.960766022	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	HEAT_HIGH_T	0.0	0.0	23.95451861	0.0	0.0	0.0	0.0	0.0
SA-PA	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	HEAT_LOW_T_HW	5.207180248	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	COOKING	32.51610467	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	SPACE_COOLING	29.37212491	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	FOOD_PRESERVATION	3.418804503	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	MECHANICAL_ENERGY_COMM	0.0	0.67162771	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	MECHANICAL_ENERGY_IND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	18.35782407	0.0	0.0
SA-PA	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-PA	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.281161757
SA-PA	NON_ENERGY	0.0	0.0	0.14954808	0.0	0.0	0.0	0.0	0.0
SA-SC	ELECTRICITY	106.609095	20.30021357	18.933915	0.0	0.0	0.0	0.0	0.0
SA-SC	LIGHTING_R_C	1.425374485	0.0	2.27833539	0.0	0.0	0.0	0.0	0.0
SA-SC	LIGHTING_P	0.0	1.424127825	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	COOKING	169.1967354	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	SPACE_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	FOOD_PRESERVATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MECHANICAL_ENERGY_COMM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MECHANICAL_ENERGY_IND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
