param : 	storage_charge_time	storage_discharge_time := 
C1	DAM_STORAGE	1526.0	1526.0
C1	PHS	10.0	10.0
C1	BATT_LI	6.0	6.0
C1	CAES	6.84	4.1
C1	BEV_BATT	8.33	8.33
C1	PHEV_BATT	8.33	8.33
C1	TS_DEC_DIRECT_ELEC	4.0	4.0
C1	TS_DEC_HP_ELEC	4.0	4.0
C1	TS_DEC_THHP_GAS	4.0	4.0
C1	TS_DEC_COGEN_GAS	4.0	4.0
C1	TS_DEC_COGEN_OIL	4.0	4.0
C1	TS_DEC_ADVCOGEN_GAS	4.0	4.0
C1	TS_DEC_ADVCOGEN_H2	4.0	4.0
C1	TS_DEC_BOILER_GAS	4.0	4.0
C1	TS_DEC_BOILER_WOOD	4.0	4.0
C1	TS_DEC_BOILER_OIL	4.0	4.0
C1	TS_DHN_DAILY	60.3	60.3
C1	TS_DHN_SEASONAL	150.0	150.0
C1	TS_HIGH_TEMP	2.0	2.0
C1	GAS_STORAGE	2256.0	752.0
C1	H2_STORAGE	168.0	168.0
C1	CO2_STORAGE	1.0	1.0
C1	DIESEL_STORAGE	168.0	168.0
C1	JET_FUEL_STORAGE	168.0	168.0
C1	GASOLINE_STORAGE	168.0	168.0
C1	LFO_STORAGE	168.0	168.0
C1	AMMONIA_STORAGE	168.0	168.0
C1	METHANOL_STORAGE	168.0	168.0
C1	PT_STORAGE	1.33	1.33
C1	ST_STORAGE	1.33	1.33
C1	TS_COLD	4.0	4.0
C1	LPG_STORAGE	168.0	168.0
C1	LNG_STORAGE	15.0	15.0
C1	SUV_ELEC_PRIVATE_BATT	8.33	8.33
C1	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
C1	BUS_ELEC_PUBLIC_BATT	8.33	8.33
C1	BATT_HS	6.0	6.0
C2	DAM_STORAGE	1526.0	1526.0
C2	PHS	10.0	10.0
C2	BATT_LI	6.0	6.0
C2	CAES	6.84	4.1
C2	BEV_BATT	8.33	8.33
C2	PHEV_BATT	8.33	8.33
C2	TS_DEC_DIRECT_ELEC	4.0	4.0
C2	TS_DEC_HP_ELEC	4.0	4.0
C2	TS_DEC_THHP_GAS	4.0	4.0
C2	TS_DEC_COGEN_GAS	4.0	4.0
C2	TS_DEC_COGEN_OIL	4.0	4.0
C2	TS_DEC_ADVCOGEN_GAS	4.0	4.0
C2	TS_DEC_ADVCOGEN_H2	4.0	4.0
C2	TS_DEC_BOILER_GAS	4.0	4.0
C2	TS_DEC_BOILER_WOOD	4.0	4.0
C2	TS_DEC_BOILER_OIL	4.0	4.0
C2	TS_DHN_DAILY	60.3	60.3
C2	TS_DHN_SEASONAL	150.0	150.0
C2	TS_HIGH_TEMP	2.0	2.0
C2	GAS_STORAGE	2256.0	752.0
C2	H2_STORAGE	168.0	168.0
C2	CO2_STORAGE	1.0	1.0
C2	DIESEL_STORAGE	168.0	168.0
C2	JET_FUEL_STORAGE	168.0	168.0
C2	GASOLINE_STORAGE	168.0	168.0
C2	LFO_STORAGE	168.0	168.0
C2	AMMONIA_STORAGE	168.0	168.0
C2	METHANOL_STORAGE	168.0	168.0
C2	PT_STORAGE	1.33	1.33
C2	ST_STORAGE	1.33	1.33
C2	TS_COLD	4.0	4.0
C2	LPG_STORAGE	168.0	168.0
C2	LNG_STORAGE	15.0	15.0
C2	SUV_ELEC_PRIVATE_BATT	8.33	8.33
C2	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
C2	BUS_ELEC_PUBLIC_BATT	8.33	8.33
C2	BATT_HS	6.0	6.0
C3	DAM_STORAGE	1526.0	1526.0
C3	PHS	10.0	10.0
C3	BATT_LI	6.0	6.0
C3	CAES	6.84	4.1
C3	BEV_BATT	8.33	8.33
C3	PHEV_BATT	8.33	8.33
C3	TS_DEC_DIRECT_ELEC	4.0	4.0
C3	TS_DEC_HP_ELEC	4.0	4.0
C3	TS_DEC_THHP_GAS	4.0	4.0
C3	TS_DEC_COGEN_GAS	4.0	4.0
C3	TS_DEC_COGEN_OIL	4.0	4.0
C3	TS_DEC_ADVCOGEN_GAS	4.0	4.0
C3	TS_DEC_ADVCOGEN_H2	4.0	4.0
C3	TS_DEC_BOILER_GAS	4.0	4.0
C3	TS_DEC_BOILER_WOOD	4.0	4.0
C3	TS_DEC_BOILER_OIL	4.0	4.0
C3	TS_DHN_DAILY	60.3	60.3
C3	TS_DHN_SEASONAL	150.0	150.0
C3	TS_HIGH_TEMP	2.0	2.0
C3	GAS_STORAGE	2256.0	752.0
C3	H2_STORAGE	168.0	168.0
C3	CO2_STORAGE	1.0	1.0
C3	DIESEL_STORAGE	168.0	168.0
C3	JET_FUEL_STORAGE	168.0	168.0
C3	GASOLINE_STORAGE	168.0	168.0
C3	LFO_STORAGE	168.0	168.0
C3	AMMONIA_STORAGE	168.0	168.0
C3	METHANOL_STORAGE	168.0	168.0
C3	PT_STORAGE	1.33	1.33
C3	ST_STORAGE	1.33	1.33
C3	TS_COLD	4.0	4.0
C3	LPG_STORAGE	168.0	168.0
C3	LNG_STORAGE	15.0	15.0
C3	SUV_ELEC_PRIVATE_BATT	8.33	8.33
C3	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
C3	BUS_ELEC_PUBLIC_BATT	8.33	8.33
C3	BATT_HS	6.0	6.0
C4	DAM_STORAGE	1526.0	1526.0
C4	PHS	10.0	10.0
C4	BATT_LI	6.0	6.0
C4	CAES	6.84	4.1
C4	BEV_BATT	8.33	8.33
C4	PHEV_BATT	8.33	8.33
C4	TS_DEC_DIRECT_ELEC	4.0	4.0
C4	TS_DEC_HP_ELEC	4.0	4.0
C4	TS_DEC_THHP_GAS	4.0	4.0
C4	TS_DEC_COGEN_GAS	4.0	4.0
C4	TS_DEC_COGEN_OIL	4.0	4.0
C4	TS_DEC_ADVCOGEN_GAS	4.0	4.0
C4	TS_DEC_ADVCOGEN_H2	4.0	4.0
C4	TS_DEC_BOILER_GAS	4.0	4.0
C4	TS_DEC_BOILER_WOOD	4.0	4.0
C4	TS_DEC_BOILER_OIL	4.0	4.0
C4	TS_DHN_DAILY	60.3	60.3
C4	TS_DHN_SEASONAL	150.0	150.0
C4	TS_HIGH_TEMP	2.0	2.0
C4	GAS_STORAGE	2256.0	752.0
C4	H2_STORAGE	168.0	168.0
C4	CO2_STORAGE	1.0	1.0
C4	DIESEL_STORAGE	168.0	168.0
C4	JET_FUEL_STORAGE	168.0	168.0
C4	GASOLINE_STORAGE	168.0	168.0
C4	LFO_STORAGE	168.0	168.0
C4	AMMONIA_STORAGE	168.0	168.0
C4	METHANOL_STORAGE	168.0	168.0
C4	PT_STORAGE	1.33	1.33
C4	ST_STORAGE	1.33	1.33
C4	TS_COLD	4.0	4.0
C4	LPG_STORAGE	168.0	168.0
C4	LNG_STORAGE	15.0	15.0
C4	SUV_ELEC_PRIVATE_BATT	8.33	8.33
C4	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
C4	BUS_ELEC_PUBLIC_BATT	8.33	8.33
C4	BATT_HS	6.0	6.0
C5	DAM_STORAGE	1526.0	1526.0
C5	PHS	10.0	10.0
C5	BATT_LI	6.0	6.0
C5	CAES	6.84	4.1
C5	BEV_BATT	8.33	8.33
C5	PHEV_BATT	8.33	8.33
C5	TS_DEC_DIRECT_ELEC	4.0	4.0
C5	TS_DEC_HP_ELEC	4.0	4.0
C5	TS_DEC_THHP_GAS	4.0	4.0
C5	TS_DEC_COGEN_GAS	4.0	4.0
C5	TS_DEC_COGEN_OIL	4.0	4.0
C5	TS_DEC_ADVCOGEN_GAS	4.0	4.0
C5	TS_DEC_ADVCOGEN_H2	4.0	4.0
C5	TS_DEC_BOILER_GAS	4.0	4.0
C5	TS_DEC_BOILER_WOOD	4.0	4.0
C5	TS_DEC_BOILER_OIL	4.0	4.0
C5	TS_DHN_DAILY	60.3	60.3
C5	TS_DHN_SEASONAL	150.0	150.0
C5	TS_HIGH_TEMP	2.0	2.0
C5	GAS_STORAGE	2256.0	752.0
C5	H2_STORAGE	168.0	168.0
C5	CO2_STORAGE	1.0	1.0
C5	DIESEL_STORAGE	168.0	168.0
C5	JET_FUEL_STORAGE	168.0	168.0
C5	GASOLINE_STORAGE	168.0	168.0
C5	LFO_STORAGE	168.0	168.0
C5	AMMONIA_STORAGE	168.0	168.0
C5	METHANOL_STORAGE	168.0	168.0
C5	PT_STORAGE	1.33	1.33
C5	ST_STORAGE	1.33	1.33
C5	TS_COLD	4.0	4.0
C5	LPG_STORAGE	168.0	168.0
C5	LNG_STORAGE	15.0	15.0
C5	SUV_ELEC_PRIVATE_BATT	8.33	8.33
C5	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
C5	BUS_ELEC_PUBLIC_BATT	8.33	8.33
C5	BATT_HS	6.0	6.0
;
